"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","PatrickF1Racing","Scuderia Ferrari HP","3","1","1:26,929","43:09,736","25","Spieler:in"
"2","Termiinator921","Alpine","4","2","1:25,641","+6,960","18","Spieler:in"
"3","Schimpalla","KICK Sauber","2","1","1:27,208","+11,962","15","Spieler:in"
"4","KC1FLY","Scuderia Ferrari HP","1","1","1:27,504","+17,370","12","Spieler:in"
"5","KevinHSV1996","Mercedes-AMG Petronas","9","2","1:27,216","+20,364","10","Spieler:in"
"6","Hladen1909","Aston Martin","10","2","1:26,760","+29,461","8","Spieler:in"
"7","DrSommer31","Visa Cash App Racing Bulls","12","2","1:27,331","+31,493","6","Spieler:in"
"8","BOB-19-90","Visa Cash App Racing Bulls","11","2","1:27,181","+32,389","4","Spieler:in"
"9","TheRealLiopnsfan","McLaren","5","2","1:27,084","+34,818","2","Spieler:in"
"10","Kuhregor","Aston Martin","7","2","1:25,199","+35,559","1","Spieler:in"
"11","snesHDenes","Haas","8","2","1:27,233","+48,042","0","Spieler:in"
"12","UnleashTheLionRB","Red Bull","6","2","1:26,978","+22,272","0","Spieler:in"
"13","Elias_Der_Echte","Williams","13","2","1:28,980","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"4,036","1","Kuhregor","Aston Martin","Fehlstart","Durchfahren"
"4,036","1","Kuhregor","Aston Martin","Fehlstart","Ungültige Rundenzeit"
"11,709","1","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"16,745","1","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"1:42,106","2","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"2:46,608","2","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"2:50,747","2","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"3:58,215","3","Schimpalla","KICK Sauber","Kollision mit Termiinator921","Warnung"
"4:08,132","3","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"4:37,932","4","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"5:45,737","4","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"5:57,460","4","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"5:57,477","4","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"6:57,409","5","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"7:06,984","5","Spieler:in","Aston Martin","Kollision mit snesHDenes","Warnung"
"7:10,395","5","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"7:20,511","5","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"10:19,306","7","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"10:19,323","7","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"10:32,709","7","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"10:32,724","7","Spieler:in","Williams","Mehrere Warnungen","3 Sekunde(n)"
"10:32,774","7","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"11:50,273","8","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"11:56,051","8","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"13:41,497","9","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"13:41,576","9","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"13:41,594","9","Spieler:in","Williams","Mehrere Warnungen","3 Sekunde(n)"
"17:27,423","12","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"21:52,815","15","Schimpalla","KICK Sauber","Kurve abgekürzt","Warnung"
"27:21,330","18","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"31:07,226","21","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"31:31,709","21","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"31:31,720","21","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"33:03,400","23","KC1FLY","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"34:05,416","23","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"38:41,518","26","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"38:41,535","26","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"38:57,288","26","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"41:45,449","29","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"41:45,549","29","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"41:45,632","29","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"41:45,640","29","PatrickF1Racing","Scuderia Ferrari HP","Mehrere Warnungen","3 Sekunde(n)"
"43:14,911","29","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"43:15,767","29","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
