"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","Schimpalla","KICK Sauber","1","1","1:32,482","45:44,764","25","Spieler:in"
"2","KC1FLY","Scuderia Ferrari HP","2","1","1:32,859","+0,873","18","Spieler:in"
"3","Termiinator921","Alpine","4","1","1:31,204","+7,050","15","Spieler:in"
"4","Hladen1909","Aston Martin","10","2","1:31,883","+16,652","12","Spieler:in"
"5","MarlonBeckemeyer","Alpine","9","1","1:32,395","+18,041","10","Spieler:in"
"6","HewisLamilton64","Williams","8","2","1:31,493","+19,973","8","Spieler:in"
"7","DrSommer31","Visa Cash App Racing Bulls","13","2","1:32,218","+30,188","6","Spieler:in"
"8","SFRT_cfc_1990","KICK Sauber","3","2","1:32,718","+32,827","4","Spieler:in"
"9","UnleashTheLionRB","Red Bull","11","2","1:32,332","+33,375","2","Spieler:in"
"10","snesHDenes","Haas","7","2","1:31,698","+33,422","1","Spieler:in"
"11","BOB-19-90","Visa Cash App Racing Bulls","14","2","1:32,950","+34,246","0","Spieler:in"
"12","TheShieldTheNext","McLaren","12","2","1:33,019","+36,721","0","Spieler:in"
"13","TheRealLionsfan","McLaren","5","2","1:31,646","+49,458","0","Spieler:in"
"14","PatrickF1Racing","Scuderia Ferrari HP","6","2","1:32,610","+ 3 Runden","0","Spieler:in"
"15","Elias_Der_Echte","Haas","15","3","1:33,750","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"16,367","1","KC1FLY","Scuderia Ferrari HP","Kollision mit Spieler:in","Warnung"
"16,377","1","Spieler:in","Scuderia Ferrari HP","Kollision mit Termiinator921","Warnung"
"17,271","1","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"23,029","1","HewisLamilton64","Williams","Kollision mit Spieler:in","Warnung"
"29,305","1","UnleashTheLionRB","Red Bull","Kollision mit Spieler:in","Warnung"
"34,202","1","snesHDenes","Haas","Kurve abgekürzt - 1 Position aufgeholt","10 Sekunden Zeitstrafe"
"39,582","1","snesHDenes","Haas","Kollision mit Spieler:in","Warnung"
"42,290","1","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"1:30,357","1","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"2:20,180","2","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"2:58,820","2","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:00,856","2","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:31,103","3","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"3:43,053","3","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"3:53,693","3","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"3:53,727","3","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"4:59,967","4","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
