"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","KC1FLY","Scuderia Ferrari HP","4","3","1:45,931","85:46,185","25","Spieler:in"
"2","BOB-19-90","Visa Cash App Racing Bulls","7","3","1:46,530","+2,599","18","Spieler:in"
"3","HewisLamilton64","Williams","11","2","1:46,425","+8,194","15","Spieler:in"
"4","SFRT_cfc_1990","KICK Sauber","2","2","1:45,872","+9,162","12","Spieler:in"
"5","PatrickF1Racing","Scuderia Ferrari HP","1","3","1:45,882","+9,187","10","Spieler:in"
"6","Schimpalla","KICK Sauber","6","2","1:46,615","+9,429","8","Spieler:in"
"7","DrSommer31","Visa Cash App Racing Bulls","10","3","1:46,821","+13,375","6","Spieler:in"
"8","Hladen1909","Aston Martin","15","2","1:46,684","+13,914","4","Spieler:in"
"9","Termiinator921","Alpine","9","3","1:46,224","+14,662","2","Spieler:in"
"10","Kuhregor","Aston Martin","13","3","1:46,612","+14,695","1","Spieler:in"
"11","snesHDenes","Haas","17","4","1:47,108","+19,212","0","Spieler:in"
"12","KevinHSV1996","Mercedes-AMG Petronas","19","3","1:47,010","+20,574","0","Spieler:in"
"13","Galendex00","Red Bull","12","3","1:45,672","+22,973","0","Spieler:in"
"14","MarlonBeckemeyer","Alpine","5","3","1:47,124","+27,318","0","Spieler:in"
"15","Nejc_jr","Red Bull","18","3","1:56,430","+ 3 Runden","0","Spieler:in"
"16","TheRealLionsfan","McLaren","3","2","1:47,784","DNF","0","Spieler:in"
"17","TheShieldTheNext","McLaren","14","2","1:47,553","DNF","0","Spieler:in"
"18","DecayBVB","Haas","8","2","1:49,136","DNF","0","Spieler:in"
"19","RACSwixF1","Mercedes-AMG Petronas","16","3","1:49,150","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"10,330","1","Galendex00","Red Bull","Kollision mit Spieler:in","Warnung"
"11,228","1","Kuhregor","Aston Martin","Kurve abgekürzt","Warnung"
"13,449","1","MarlonBeckemeyer","Alpine","Kollision mit TheRealLionsfan","Warnung"
"24,179","1","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"25,889","1","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"29,630","1","PatrickF1Racing","Scuderia Ferrari HP","Kurve abgekürzt","Warnung"
"39,986","1","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:06,345","1","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:06,363","1","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"1:54,861","1","Spieler:in","Aston Martin","Kollision mit Kuhregor","Warnung"
"2:52,749","2","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"3:39,580","2","Termiinator921","Alpine","Kollision mit MarlonBeckemeyer","Warnung"
"4:44,360","3","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"4:47,962","3","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"6:03,332","4","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"6:17,205","4","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"6:38,498","4","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"7:52,864","5","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"11:36,625","7","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"11:59,950","7","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"12:37,005","7","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
