"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","SFRT_cfc_1990","KICK Sauber","1","2","1:11,099","48:01,064","25","Spieler:in"
"2","BOB-19-90","Visa Cash App Racing Bulls","6","2","1:12,477","+13,588","18","Spieler:in"
"3","KevinHSV1996","Mercedes-AMG Petronas","2","2","1:12,609","+19,925","15","Spieler:in"
"4","KC1FLY","Scuderia Ferrari HP","3","1","1:13,806","+30,889","12","Spieler:in"
"5","Schimpalla","KICK Sauber","10","2","1:11,608","+44,780","10","Spieler:in"
"6","Hladen1909","Aston Martin","15","2","1:11,581","+47,227","8","Spieler:in"
"7","MarlonBeckemeyer","Alpine","7","2","1:11,465","+52,464","6","Spieler:in"
"8","Termiinator921","Alpine","8","2","1:11,332","+1:00,841","4","Spieler:in"
"9","snesHDenes","Haas","14","2","1:13,105","+1:13,829","2","Spieler:in"
"10","Kuhregor","Aston Martin","9","2","1:12,094","+1:14,084","1","Spieler:in"
"11","TheShieldTheNext","McLaren","13","2","1:12,359","+1:14,904","0","Spieler:in"
"12","HewisLamilton64","Williams","12","1","1:12,990","+1:15,471","0","Spieler:in"
"13","PatrickF1Racing","Scuderia Ferrari HP","4","2","1:12,043","+1:16,655","0","Spieler:in"
"14","TheRealLionsfan","McLaren","5","2","1:12,637","+1:34,550","0","Spieler:in"
"15","UnleashTheLionRB","Red Bull","11","1","1:21,929","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"12,730","1","KC1FLY","Scuderia Ferrari HP","Kollision mit Spieler:in","Warnung"
"12,748","1","Spieler:in","KICK Sauber","Kollision mit KC1FLY","Warnung"
"15,519","1","Spieler:in","McLaren","Kollision mit KC1FLY","Warnung"
"27,345","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit Spieler:in","Warnung"
"3:24,631","3","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"4:28,309","4","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"5:46,037","5","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"6:03,585","5","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"8:32,981","7","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"8:40,171","7","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"9:04,029","7","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"9:53,578","8","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"9:53,596","8","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"9:58,182","8","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"12:30,651","9","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"12:31,739","10","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"12:57,109","10","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"16:29,924","13","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"17:18,895","13","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"17:38,312","13","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"17:38,322","13","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"17:54,309","14","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"18:41,966","14","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"19:02,580","14","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"19:03,408","14","Spieler:in","McLaren","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"19:28,238","14","Spieler:in","Red Bull","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"19:49,035","15","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"23:04,470","17","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"23:04,486","17","TheShieldTheNext","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"23:41,021","18","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"23:41,030","18","MarlonBeckemeyer","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"26:13,445","20","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"26:13,461","20","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"27:40,927","20","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"29:10,752","22","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"29:10,769","22","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"29:13,755","22","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"29:24,790","22","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"32:10,526","24","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"32:25,559","24","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"33:07,410","24","TheShieldTheNext","McLaren","Kollision mit Kuhregor","Warnung"
"33:38,325","25","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"34:05,259","25","Spieler:in","McLaren","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"34:20,344","25","MarlonBeckemeyer","Alpine","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"34:40,807","26","Spieler:in","McLaren","Weiße Linie an der Boxengassenausfahrt überfahren","Warnung"
"35:28,343","26","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"35:36,547","26","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
