"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","PatrickF1Racing","Scuderia Ferrari HP","1","2","1:17,903","45:29,684","25","Spieler:in"
"2","MarlonBeckemeyer","Alpine","15","1","1:18,200","+1,508","18","Spieler:in"
"3","HewisLamilton64","Williams","3","2","1:18,398","+6,552","15","Spieler:in"
"4","Termiinator921","Alpine","5","2","1:18,233","+11,364","12","Spieler:in"
"5","DrSommer31","Visa Cash App Racing Bulls","13","2","1:19,113","+16,753","10","Spieler:in"
"6","KevinHSV1996","Mercedes-AMG Petronas","8","2","1:18,687","+19,760","8","Spieler:in"
"7","BOB-19-90","Visa Cash App Racing Bulls","7","2","1:18,686","+23,427","6","Spieler:in"
"8","Kuhregor","Aston Martin","12","2","1:19,332","+23,645","4","Spieler:in"
"9","TheShieldTheNext","McLaren","10","3","1:17,936","+25,987","2","Spieler:in"
"10","Schimpalla","KICK Sauber","6","2","1:17,866","+44,723","1","Spieler:in"
"11","snesHDenes","Haas","4","3","1:18,680","+1:10,497","0","Spieler:in"
"12","Elias_der_Echte","Haas","16","3","1:19,479","+ 1 Runde","0","Spieler:in"
"13","MrLuke806","Mercedes-AMG Petronas","14","2","1:19,761","+ 3 Runden","0","Spieler:in"
"14","Galendex00","Red Bull","11","2","1:18,687","DNF","0","Spieler:in"
"15","TheRealLionsfan","Red Bull","9","1","1:18,789","DNF","0","Spieler:in"
"16","DecayBVB","McLaren","2","0","--:--,---","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"19,305","1","MarlonBeckemeyer","Alpine","Kollision mit MrLuke806","Warnung"
"26,818","1","Spieler:in","McLaren","Totalschaden","DNF"
"30,010","1","snesHDenes","Haas","Schwere Kollision mit Termiinator921","10 Sekunden Zeitstrafe"
"31,151","1","Schimpalla","KICK Sauber","Schwere Kollision mit snesHDenes","10 Sekunden Zeitstrafe"
"1:18,780","1","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:46,385","2","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"1:57,346","2","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"2:29,878","2","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"2:36,317","2","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"3:23,394","3","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"3:32,560","3","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"3:32,576","3","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"3:55,223","3","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"3:56,304","3","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"4:25,121","4","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"4:36,203","4","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:03,163","4","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"5:13,968","4","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"5:31,082","4","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"5:31,097","4","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"6:23,974","5","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"6:50,020","5","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"6:50,027","5","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"7:19,516","6","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"7:22,722","5","Spieler:in","Mercedes-AMG Petronas","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"7:37,470","6","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"8:25,827","7","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"8:25,861","7","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"8:25,911","7","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"8:25,918","7","KevinHSV1996","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"8:28,428","6","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"9:41,167","7","KevinHSV1996","Mercedes-AMG Petronas","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"9:54,639","7","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"10:29,833","7","Spieler:in","Haas","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"10:38,540","8","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"10:54,877","8","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"11:12,723","9","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"11:12,741","9","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"11:24,195","8","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"11:44,523","9","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"11:44,531","9","Schimpalla","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"13:05,244","9","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"13:13,612","9","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"13:13,620","9","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"13:14,536","10","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"14:00,391","10","Spieler:in","Red Bull","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"14:04,504","10","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"14:45,678","11","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"15:40,483","12","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"17:35,687","12","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"18:56,270","14","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"19:17,136","14","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"19:22,490","14","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"19:38,920","14","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"19:38,942","14","Spieler:in","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"20:37,999","15","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"20:46,154","15","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"20:59,624","15","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"21:49,600","16","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"21:49,617","16","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"22:49,781","16","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"23:07,265","16","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"23:07,271","16","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"23:30,678","17","Spieler:in","Red Bull","Totalschaden","DNF"
"25:22,753","18","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"27:42,811","20","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"27:42,828","20","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"31:08,935","22","Termiinator921","Alpine","Kollision mit Spieler:in","Warnung"
"31:10,045","22","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"31:40,527","22","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"31:44,212","21","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"32:32,199","23","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"32:32,207","23","Spieler:in","Visa Cash App Racing Bulls","Mehrere Warnungen","3 Sekunde(n)"
"33:18,559","23","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"33:18,566","23","KevinHSV1996","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"33:55,974","24","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"34:26,044","24","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"35:50,129","24","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"37:36,785","26","Spieler:in","Red Bull","Kollision mit Schimpalla","Warnung"
"38:30,625","27","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"40:22,990","28","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"41:21,650","29","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"41:21,672","29","Spieler:in","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"41:49,960","29","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"42:11,235","30","Spieler:in","Mercedes-AMG Petronas","Totalschaden","DNF"
"44:02,194","31","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"44:02,211","31","TheShieldTheNext","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"45:07,357","32","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"45:21,391","32","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"45:24,440","32","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"45:24,447","32","Spieler:in","Visa Cash App Racing Bulls","Mehrere Warnungen","3 Sekunde(n)"
"45:28,559","32","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"45:28,564","32","Schimpalla","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"45:28,831","32","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
