"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","SFRT_cfc_1990","KICK Sauber","4","1","1:24,998","42:10,355","25","Spieler:in"
"2","snesHDenes","Haas","5","1","1:24,615","+3,102","18","Spieler:in"
"3","Schimpalla","KICK Sauber","2","1","1:25,461","+3,305","15","Spieler:in"
"4","MarlonBeckemeyer","Alpine","1","1","1:23,973","+4,088","12","Spieler:in"
"5","UnleashTheLionRB","Red Bull","6","1","1:24,213","+13,695","10","Spieler:in"
"6","HewisLamilton64","Williams","9","1","1:25,005","+19,139","8","Spieler:in"
"7","Termiinator921","Alpine","7","1","1:24,927","+25,845","6","Spieler:in"
"8","PatrickF1Racing","Scuderia Ferrari HP","3","2","1:23,089","+36,636","4","Spieler:in"
"9","BOB-19-90","Visa Cash App Racing Bulls","8","2","1:25,094","+42,906","2","Spieler:in"
"10","DrSommer31","Visa Cash App Racing Bulls","10","2","1:25,619","+52,624","1","Spieler:in"
"11","KevinHSV1996","Mercedes-AMG Petronas","11","2","1:25,193","+1:01,688","0","Spieler:in"
"12","TheShieldTheNext","McLaren","12","2","1:25,706","+1:04,041","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"1:28,419","1","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"2:00,845","2","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"2:39,634","2","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"3:14,605","3","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"3:16,009","3","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"4:10,268","3","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"4:11,943","3","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"4:13,432","3","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"4:14,150","3","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"4:22,469","3","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"4:22,913","3","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"5:35,059","4","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"7:09,388","5","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"8:02,206","6","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"8:24,879","6","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"8:25,511","6","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"9:02,794","7","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"10:00,036","7","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"10:00,052","7","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"13:17,891","10","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"13:24,724","9","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"13:24,740","9","TheShieldTheNext","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"13:54,096","10","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"14:56,415","10","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"15:44,341","11","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"16:54,525","12","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"16:54,535","12","UnleashTheLionRB","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"17:57,292","12","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"18:55,014","13","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"19:07,110","13","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"19:07,127","13","TheShieldTheNext","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"19:12,282","13","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"19:16,268","14","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"20:10,200","14","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"20:26,693","14","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"20:26,701","14","Spieler:in","Visa Cash App Racing Bulls","Mehrere Warnungen","3 Sekunde(n)"
"20:41,620","15","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"20:41,636","15","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"20:51,848","14","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"21:22,633","15","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"21:22,641","15","Schimpalla","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"21:42,752","15","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"22:18,713","16","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"23:12,361","16","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"23:19,367","16","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"23:19,384","16","Spieler:in","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"23:34,593","16","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"23:34,600","16","KevinHSV1996","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"24:44,812","17","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"24:50,005","17","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"24:51,713","17","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"24:51,731","17","HewisLamilton64","Williams","Mehrere Warnungen","3 Sekunde(n)"
"26:15,062","18","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"26:23,925","18","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"26:26,559","18","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"27:35,119","19","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"27:35,129","19","UnleashTheLionRB","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"27:56,981","19","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"27:56,998","19","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"29:04,065","20","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"29:10,171","20","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"29:12,074","20","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"30:10,992","21","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"30:21,207","21","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"30:24,360","21","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"30:29,205","21","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"30:29,212","21","Schimpalla","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"30:36,673","21","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
