"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","SFRT_cfc_1990","KICK Sauber","6","2","1:21,117","41:09,118","25","Spieler:in"
"2","PatrickF1Racing","Scuderia Ferrari HP","1","2","1:22,145","+8,918","18","Spieler:in"
"3","qDecaay","Red Bull","8","1","1:22,626","+10,844","15","Spieler:in"
"4","KevinHSV1996","Mercedes-AMG Petronas","12","2","1:22,713","+12,575","12","Spieler:in"
"5","DrSommer31","Visa Cash App Racing Bulls","16","2","1:22,439","+13,033","10","Spieler:in"
"6","MarlonBeckemeyer","Alpine","4","2","1:22,906","+15,764","8","Spieler:in"
"7","snesHDenes","Haas","3","2","1:22,393","+20,034","6","Spieler:in"
"8","Schimpalla","KICK Sauber","5","2","1:22,041","+20,448","4","Spieler:in"
"9","KC1FLY","Scuderia Ferrari HP","2","2","1:22,342","+22,095","2","Spieler:in"
"10","BOB-19-90","Visa Cash App Racing Bulls","7","2","1:22,953","+27,642","1","Spieler:in"
"11","HewisLamilton64","Williams","18","2","1:23,375","+31,891","0","Spieler:in"
"12","UnleashTheLionRB","Red Bull","11","2","1:22,424","+34,510","0","Spieler:in"
"13","Termiinator921","Alpine","17","2","1:22,953","+36,600","0","Spieler:in"
"14","Elias_Der_Echte","Haas","15","2","1:24,134","+55,516","0","Spieler:in"
"15","TheRealLionsfan","McLaren","10","2","1:23,522","+55,637","0","Spieler:in"
"16","TheShieldTheNext","McLaren","13","1","1:24,453","+ 1 Runde","0","Spieler:in"
"17","RACSwixF1","Mercedes-AMG Petronas","14","0","1:49,662","DNF","0","Spieler:in"
"18","Hladen1909","Aston Martin","9","0","--:--,---","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"14,047","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit HewisLamilton64","Warnung"
"15,526","1","Spieler:in","McLaren","Kollision mit Spieler:in","Warnung"
"17,661","1","KC1FLY","Scuderia Ferrari HP","Kurve abgekürzt","10 Sekunden Zeitstrafe"
"17,759","1","Schimpalla","KICK Sauber","Kollision mit snesHDenes","Warnung"
"18,821","1","MarlonBeckemeyer","Alpine","Kollision mit KC1FLY","Warnung"
"18,894","1","Schimpalla","KICK Sauber","Kurve abgekürzt","Warnung"
"20,331","1","Spieler:in","Mercedes-AMG Petronas","Kollision mit Hladen1909","Warnung"
"22,631","1","PatrickF1Racing","Scuderia Ferrari HP","Kollision mit KC1FLY","Warnung"
"22,641","1","Spieler:in","KICK Sauber","Kollision mit Spieler:in","Warnung"
"56,766","1","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"1:02,573","1","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"1:04,005","1","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:14,038","1","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"1:14,967","1","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"2:35,939","2","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"2:39,972","2","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"4:01,936","3","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"4:10,861","3","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"4:12,258","3","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"4:12,264","3","snesHDenes","Haas","Mehrere Warnungen","3 Sekunde(n)"
"4:19,093","3","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"4:19,165","3","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:30,670","4","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"5:47,787","4","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"5:47,794","4","KevinHSV1996","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"5:48,687","4","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"5:53,153","4","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"5:53,219","4","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"5:53,236","4","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"6:48,881","5","snesHDenes","Haas","Kurve abgekürzt","10 Sekunden Zeitstrafe"
"6:59,706","5","KC1FLY","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"7:22,416","5","MarlonBeckemeyer","Alpine","Streckenbegrenzung überschritten","Warnung"
"7:28,247","5","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"7:28,260","5","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"8:52,766","6","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"9:00,613","6","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"9:00,895","6","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"9:00,963","6","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"9:00,979","6","HewisLamilton64","Williams","Mehrere Warnungen","3 Sekunde(n)"
"9:05,114","6","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"9:05,120","6","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"10:27,520","7","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"10:32,998","7","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"10:33,049","7","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"10:33,056","7","Spieler:in","Visa Cash App Racing Bulls","Mehrere Warnungen","3 Sekunde(n)"
"10:42,337","7","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"12:49,848","8","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"13:28,545","9","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"14:20,454","9","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
