"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","Spieler:in","Scuderia Ferrari HP","1","3","1:06,699","48:15,635","25","Spieler:in"
"2","Spieler:in","Visa Cash App Racing Bulls","13","2","1:07,015","+1,082","18","Spieler:in"
"3","Spieler:in","Alpine","8","2","1:07,923","+3,081","15","Spieler:in"
"4","Spieler:in","Williams","12","2","1:07,788","+4,587","12","Spieler:in"
"5","Spieler:in","KICK Sauber","5","3","1:07,675","+5,718","10","Spieler:in"
"6","Spieler:in","Aston Martin","10","3","1:08,694","+10,767","8","Spieler:in"
"7","Spieler:in","McLaren","9","3","1:08,661","+11,111","6","Spieler:in"
"8","Spieler:in","Visa Cash App Racing Bulls","6","3","1:07,221","+11,618","4","Spieler:in"
"9","snesHDenes","Haas","4","3","1:08,364","+12,340","2","Spieler:in"
"10","Spieler:in","Williams","14","2","1:08,547","+17,858","1","Spieler:in"
"11","Spieler:in","Mercedes-AMG Petronas","16","3","1:08,612","+18,913","0","Spieler:in"
"12","Spieler:in","KICK Sauber","2","4","1:08,402","+22,645","0","Spieler:in"
"13","Spieler:in","Haas","15","2","1:08,444","+23,385","0","Spieler:in"
"14","Termiinator921","Alpine","18","4","1:08,346","+26,526","0","Spieler:in"
"15","Spieler:in","Red Bull","7","2","1:08,091","+32,761","0","Spieler:in"
"16","Spieler:in","McLaren","17","5","1:08,074","+ 3 Runden","0","Spieler:in"
"17","Spieler:in","Red Bull","11","1","1:08,930","DNF","0","Spieler:in"
"18","Spieler:in","Scuderia Ferrari HP","3","2","1:08,511","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"9,337","1","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"10,741","1","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"11,235","1","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"29,767","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit Spieler:in","Warnung"
"30,948","1","Termiinator921","Alpine","Kollision mit Spieler:in","Warnung"
"42,778","1","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:12,023","1","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"1:12,290","1","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"2:09,435","2","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"2:20,461","2","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"2:25,364","2","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"2:27,710","2","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"2:28,465","3","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"2:32,656","3","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"2:34,141","3","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"3:14,047","3","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:25,400","3","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"3:27,183","3","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"3:28,325","3","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:28,343","3","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"3:31,358","3","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"3:32,998","3","Termiinator921","Alpine","Kollision mit Galendex00","Warnung"
"3:33,924","3","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"3:36,359","3","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"3:36,377","3","Spieler:in","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"3:55,485","4","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"3:59,781","4","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"3:59,797","4","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"4:05,509","4","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"4:29,450","4","Spieler:in","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"4:43,875","4","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"4:46,327","4","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"4:56,399","4","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"4:56,416","4","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"4:59,869","4","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"5:21,874","5","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"5:37,968","5","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"5:41,004","5","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"5:45,359","5","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:47,077","5","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:47,095","5","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"6:49,330","6","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"6:49,349","6","Spieler:in","Williams","Mehrere Warnungen","3 Sekunde(n)"
"7:13,626","7","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"7:47,303","6","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"7:47,320","6","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"8:11,131","7","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"10:15,518","8","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"10:44,201","9","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"10:48,008","9","Spieler:in","Red Bull","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"11:34,914","9","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"11:47,028","10","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"11:47,037","10","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"12:09,414","10","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"12:09,429","10","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"13:23,763","11","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"13:35,032","11","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"13:35,050","11","Spieler:in","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"13:35,827","11","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"14:07,451","11","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"14:07,467","11","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"14:33,910","12","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"14:35,427","12","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"14:44,669","12","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"14:46,832","12","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"14:51,592","12","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"14:52,089","12","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"14:52,105","12","Spieler:in","Williams","Mehrere Warnungen","3 Sekunde(n)"
"14:52,398","12","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"15:50,420","13","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"16:08,395","13","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"16:27,677","13","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"16:27,692","13","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"16:39,136","13","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"16:43,457","13","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"16:51,400","14","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"16:51,415","14","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"16:51,415","14","Spieler:in","McLaren","Illegaler Zeitgewinn","Warnung"
"17:12,273","14","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"17:16,617","14","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"17:25,406","14","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"17:48,423","14","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"18:16,453","15","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"18:35,011","15","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"18:41,030","15","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"19:47,607","16","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"19:47,625","16","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"19:59,759","16","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"19:59,771","16","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"22:19,378","18","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"22:19,384","18","Spieler:in","Visa Cash App Racing Bulls","Mehrere Warnungen","3 Sekunde(n)"
"22:21,846","18","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"22:21,860","18","Spieler:in","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"22:32,275","18","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"22:48,049","19","Spieler:in","Red Bull","Totalschaden","DNF"
"24:24,743","20","Spieler:in","Scuderia Ferrari HP","Gelbe Flagge ignoriert","DSQ"
"27:58,817","21","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"29:18,514","22","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"29:18,532","22","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"30:25,565","23","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"30:28,426","23","Spieler:in","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"31:04,315","24","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"31:04,324","24","Spieler:in","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"31:49,828","24","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"31:49,844","24","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"31:55,121","24","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"32:17,169","25","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"33:03,689","25","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"33:08,124","25","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"34:01,699","26","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"36:14,479","27","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
