"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","kzie73","Visa Cash App Racing Bulls","1","1","1:22,528","37:52,322","25","Spieler:in"
"2","BG10126","Visa Cash App Racing Bulls","4","1","1:22,518","+0,535","18","Spieler:in"
"3","mosewhat","Mercedes-AMG Petronas","5","1","1:21,260","+0,951","15","Spieler:in"
"4","Schimpalla","KICK Sauber","2","1","1:22,497","+3,711","12","Spieler:in"
"5","Marcolinski19","Aston Martin","7","1","1:22,007","+10,453","10","Spieler:in"
"6","SFRT_cfc_1990","KICK Sauber","3","1","1:21,498","+11,234","8","Spieler:in"
"7","Termiinator921","Scuderia Ferrari HP","16","1","1:21,530","+15,831","6","Spieler:in"
"8","HewisLamilton64","Mercedes-AMG Petronas","10","2","1:21,708","+23,630","4","Spieler:in"
"9","lewa1305","Alpine","9","2","1:21,413","+24,342","2","Spieler:in"
"10","Ikaros212","McLaren","12","1","1:21,870","+34,513","1","Spieler:in"
"11","snesHDenes","Haas","11","2","1:22,122","+40,077","0","Spieler:in"
"12","Destroyer","Williams","8","2","1:21,800","+41,804","0","Spieler:in"
"13","Rene Zangelder","Williams","17","2","1:22,703","+43,933","0","Spieler:in"
"14","F1Alonso14","Haas","13","2","1:21,946","+1:04,140","0","Spieler:in"
"15","Tobi","Red Bull","14","2","1:23,318","+ 2 Runden","0","Spieler:in"
"16","UnleashTheLionRB","Red Bull","18","2","1:28,468","+ 2 Runden","0","Spieler:in"
"17","I-BanKs10-I","Alpine","15","1","1:23,520","DNF","0","Spieler:in"
"18","Pauli-Mauli_HD","McLaren","19","1","1:24,008","DNF","0","Spieler:in"
"19","MarlonBeckemeyer","Scuderia Ferrari HP","6","0","--:--,---","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"16,342","1","kzie73","Visa Cash App Racing Bulls","Kollision mit Spieler:in","Warnung"
"17,189","1","SFRT_cfc_1990","KICK Sauber","Kollision mit Spieler:in","Warnung"
"19,654","1","MarlonBeckemeyer","Scuderia Ferrari HP","Parken an gefährlichem Ort","DSQ"
"20,398","1","snesHDenes","Haas","Kollision mit Spieler:in","Warnung"
"1:05,245","1","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"1:42,881","2","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"3:05,308","3","Ikaros212","McLaren","Kollision mit Spieler:in","Warnung"
"3:38,490","3","F1Alonso14","Haas","Streckenbegrenzung überschritten","Warnung"
"3:47,049","3","Marcolinski19","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"3:47,851","3","SFRT_cfc_1990","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"3:54,429","3","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"3:54,445","3","Pauli","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"4:53,851","4","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"5:15,954","4","F1Alonso14","Haas","Kurve abgekürzt","3 Sekunde(n)"
"5:18,665","4","Rene","Williams","Streckenbegrenzung überschritten","Warnung"
"6:32,566","5","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"6:45,040","5","Tobi","Red Bull","Streckenbegrenzung überschritten","Warnung"
"7:12,032","6","Marcolinski19","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"7:35,941","6","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"8:01,226","6","BG10126","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"8:11,258","6","Ikaros212","McLaren","Streckenbegrenzung überschritten","Warnung"
"8:17,836","6","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"8:17,853","6","Pauli","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"8:54,273","7","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"10:46,073","8","mosewhat","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"12:01,775","9","Pauli","McLaren","Kurve abgekürzt","10 Sekunden Zeitstrafe"
"12:03,627","9","Pauli","McLaren","Kurve abgekürzt","3 Sekunde(n)"
"12:03,835","9","F1Alonso14","Haas","Streckenbegrenzung überschritten","Warnung"
"12:30,484","9","Rene","Williams","Streckenbegrenzung überschritten","Warnung"
"12:57,079","9","BanKsy10","Alpine","Kollision mit Spieler:in","Warnung"
"12:57,079","9","Pauli","McLaren","Kollision mit Spieler:in","Warnung"
"13:20,124","10","Marcolinski19","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"13:20,141","10","Marcolinski19","Aston Martin","Mehrere Warnungen","3 Sekunde(n)"
"13:36,705","10","Destroyer","Williams","Streckenbegrenzung überschritten","Warnung"
"13:53,316","10","BanKsy10","Alpine","Streckenbegrenzung überschritten","Warnung"
"14:21,540","10","BanKsy10","Alpine","Streckenbegrenzung überschritten","Warnung"
"15:28,854","11","Rene","Williams","Streckenbegrenzung überschritten","Warnung"
"15:28,861","11","Rene","Williams","Mehrere Warnungen","3 Sekunde(n)"
"16:33,374","11","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"17:47,118","13","Marcolinski19","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"19:18,070","14","BanKsy10","Alpine","Kurve abgekürzt","10 Sekunden Zeitstrafe"
"19:40,587","14","Rene","Williams","Streckenbegrenzung überschritten","Warnung"
"20:00,795","14","BanKsy10","Alpine","Streckenbegrenzung überschritten","Warnung"
"20:00,812","14","BanKsy10","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"20:04,099","14","BanKsy10","Alpine","Kurve abgekürzt","Warnung"
"20:33,632","15","mosewhat","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"20:54,664","15","HewisLamilton64","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"21:04,890","15","Rene","Williams","Streckenbegrenzung überschritten","Warnung"
"21:47,719","15","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"21:47,737","15","Pauli","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"21:47,985","16","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"22:13,291","16","lewa1305","Alpine","Streckenbegrenzung überschritten","Warnung"
"22:13,826","15","Pauli","McLaren","Kurve abgekürzt","10 Sekunde(n)"
"22:15,328","15","Pauli","McLaren","Kurve abgekürzt","10 Sekunden Zeitstrafe"
"22:46,860","16","snesHDenes","Haas","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"23:10,316","16","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"23:37,208","16","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"23:38,776","16","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"23:38,793","16","Pauli","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"23:40,644","16","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"23:41,360","17","SFRT_cfc_1990","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"23:42,434","17","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"25:04,196","17","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"25:04,377","18","SFRT_cfc_1990","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"25:04,393","18","SFRT_cfc_1990","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"25:23,109","18","lewa1305","Alpine","Streckenbegrenzung überschritten","Warnung"
"25:39,413","18","BanKsy10","Alpine","Streckenbegrenzung überschritten","Warnung"
"25:41,932","18","BanKsy10","Alpine","Kurve abgekürzt","Warnung"
"25:41,947","18","BanKsy10","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"26:03,705","18","BanKsy10","Alpine","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"26:11,994","19","snesHDenes","Haas","Kollision mit Ikaros212","Warnung"
"26:11,987","19","Ikaros212","McLaren","Kollision mit snesHDenes","Warnung"
"26:33,182","18","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"26:33,198","18","Pauli","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"26:34,633","18","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
"28:30,098","20","Pauli","McLaren","Streckenbegrenzung überschritten","Warnung"
