"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","kzie73","Visa Cash App Racing Bulls","1","1","1:15,606","42:33,163","25","Spieler:in"
"2","BG10126","Visa Cash App Racing Bulls","2","1","1:15,410","+0,795","18","Spieler:in"
"3","lewa1305","Alpine","5","1","1:15,119","+3,063","15","Spieler:in"
"4","mosewhat","Mercedes-AMG Petronas","10","1","1:15,389","+4,391","12","Spieler:in"
"5","SFRT_cfc_1990","KICK Sauber","12","1","1:16,125","+23,379","10","Spieler:in"
"6","MarlonBeckemeyer","Scuderia Ferrari HP","15","1","1:15,772","+23,950","8","Spieler:in"
"7","UnleashTheLionRB","Red Bull","7","2","1:15,022","+29,339","6","Spieler:in"
"8","HewisLamilton64","Mercedes-AMG Petronas","13","1","1:16,339","+31,699","4","Spieler:in"
"9","Schimpalla","KICK Sauber","3","1","1:16,421","+40,081","2","Spieler:in"
"10","Tobi","Red Bull","4","2","1:14,250","+40,591","1","Spieler:in"
"11","snesHDenes","Haas","9","2","1:15,555","+41,340","0","Spieler:in"
"12","Rene Zangelder","Williams","16","1","1:16,223","+47,049","0","Spieler:in"
"13","F1Alonso14","Haas","14","2","1:14,929","+54,763","0","Spieler:in"
"14","Marcolinski19","Aston Martin","6","3","1:14,724","+ 1 Runde","0","Spieler:in"
"15","Terminator921","Scuderia Ferrari HP","17","1","1:17,173","+ 1 Runde","0","Spieler:in"
"16","MagicBosna_","Aston Martin","8","1","1:16,184","DNF","0","Spieler:in"
"17","Destroyer","Williams","11","0","1:49,800","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"11,240","1","snesHDenes","Haas","Kollision mit MagicBosna_","Warnung"
"11,265","1","MagicBosna_","Aston Martin","Kollision mit snesHDenes","Warnung"
"12,295","1","BG10126","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"22,386","1","Tobi","Red Bull","Kollision mit MagicBosna_","Warnung"
"49,380","1","Terminator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"1:23,848","1","Rene Zangelder","Williams","Streckenbegrenzung überschritten","Warnung"
"1:36,607","2","Terminator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"3:32,947","3","Rene Zangelder","Williams","Streckenbegrenzung überschritten","Warnung"
"3:51,734","3","BG10126","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"3:53,397","3","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:09,064","4","Terminator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"5:09,081","4","Terminator921","Scuderia Ferrari HP","Mehrere Warnungen","3 Sekunde(n)"
"5:12,684","4","HewisLamilton64","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"8:23,248","7","Schimpalla","KICK Sauber","Kollision mit Spieler:in","Warnung"
"8:23,240","7","lewa1305","Alpine","Kollision mit Spieler:in","Warnung"
"9:01,389","7","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"10:51,941","9","kzie73","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"11:35,156","9","Terminator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"13:08,499","10","Terminator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"15:27,687","12","mosewhat","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"15:38,576","12","Rene Zangelder","Williams","Streckenbegrenzung überschritten","Warnung"
"15:38,582","12","Rene Zangelder","Williams","Mehrere Warnungen","3 Sekunde(n)"
"22:12,080","17","mosewhat","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"22:12,152","17","mosewhat","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"22:12,161","17","mosewhat","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"25:56,839","20","Rene Zangelder","Williams","Streckenbegrenzung überschritten","Warnung"
"26:53,285","21","F1Alonso14","Haas","Streckenbegrenzung überschritten","Warnung"
"26:57,213","20","Marcolinski19","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"27:52,050","21","Marcolinski19","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"28:42,403","22","F1Alonso14","Haas","Streckenbegrenzung überschritten","Warnung"
"30:01,669","24","lewa1305","Alpine","Streckenbegrenzung überschritten","Warnung"
"30:16,094","23","Rene Zangelder","Williams","Streckenbegrenzung überschritten","Warnung"
"31:19,926","24","F1Alonso14","Haas","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"31:29,037","24","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"32:58,322","26","SFRT_cfc_1990","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"34:04,921","26","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"35:12,633","27","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"35:36,961","28","lewa1305","Alpine","Streckenbegrenzung überschritten","Warnung"
"37:50,515","29","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"37:50,524","29","UnleashTheLionRB","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"40:49,469","32","F1Alonso14","Haas","Streckenbegrenzung überschritten","Warnung"
"40:49,485","32","F1Alonso14","Haas","Mehrere Warnungen","3 Sekunde(n)"
"41:29,744","31","Terminator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"41:29,759","31","Terminator921","Scuderia Ferrari HP","Mehrere Warnungen","3 Sekunde(n)"
"41:35,842","32","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"41:39,721","32","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"41:52,908","32","Rene Zangelder","Williams","Streckenbegrenzung überschritten","Warnung"
"41:52,915","32","Rene Zangelder","Williams","Mehrere Warnungen","3 Sekunde(n)"
"42:16,005","32","Terminator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"43:14,928","33","F1Alonso14","Haas","Nicht erfüllte Strafe","10 Sekunde(n)"
