"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","Spieler:in","Scuderia Ferrari HP","4","1","1:36,480","45:53,336","25","Spieler:in"
"2","Spieler:in","Scuderia Ferrari HP","1","1","1:36,228","+0,732","18","Spieler:in"
"3","Spieler:in","Visa Cash App Racing Bulls","10","1","1:36,878","+9,574","15","Spieler:in"
"4","Spieler:in","Audi Revolut F1 Team","7","1","1:36,844","+25,991","12","Spieler:in"
"5","UnleashTheLionRB","Visa Cash App Racing Bulls","5","1","1:36,670","+26,226","10","Spieler:in"
"6","Spieler:in","Atlassian Williams F1 Team","6","1","1:36,791","+31,149","8","Spieler:in"
"7","Spieler:in","Cadillac Formula 1® Team","9","1","1:36,582","+35,124","6","Spieler:in"
"8","Spieler:in","Cadillac Formula 1® Team","3","1","1:36,620","+36,519","4","Spieler:in"
"9","Spieler:in","Alpine","14","2","1:36,428","+42,133","2","Spieler:in"
"10","Spieler:in","Audi Revolut F1 Team","12","2","1:35,346","+58,248","1","Spieler:in"
"11","snesHDenes","Haas","11","2","1:36,751","+1:10,225","0","Spieler:in"
"12","Spieler:in","Aston Martin Aramco","15","2","1:35,858","+ 1 Runde","0","Spieler:in"
"13","Spieler:in","Haas","8","2","1:35,355","+ 1 Runde","0","Spieler:in"
"14","Spieler:in","Aston Martin Aramco","17","1","1:38,729","DNF","0","Spieler:in"
"15","Spieler:in","Oracle Red Bull Racing","2","2","1:42,470","DNF","0","Spieler:in"
"16","Spieler:in","Mercedes-AMG F1 Team","19","1","1:56,792","DNF","0","Spieler:in"
"17","Spieler:in","McLaren","18","0","1:55,042","DNF","0","Spieler:in"
"18","Spieler:in","McLaren","16","1","1:53,110","DNF","0","Spieler:in"
"19","Spieler:in","Alpine","13","1","1:36,994","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"16,070","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit Spieler:in","Warnung"
"22,798","1","Spieler:in","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"27,648","1","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"30,285","1","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"31,007","1","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"31,527","1","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"32,006","1","Spieler:in","Aston Martin Aramco","Streckenbegrenzung überschritten","Warnung"
"34,883","1","Spieler:in","Cadillac Formula 1® Team","Streckenbegrenzung überschritten","Warnung"
"35,398","1","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:17,582","1","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"1:17,597","1","Spieler:in","Visa Cash App Racing Bulls","Mehrere Warnungen","3 Sekunde(n)"
"2:11,277","2","Spieler:in","Atlassian Williams F1 Team","Streckenbegrenzung überschritten","Warnung"
"2:11,769","2","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"2:55,374","2","Spieler:in","Audi Revolut F1 Team","Streckenbegrenzung überschritten","Warnung"
"2:56,016","2","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:46,569","3","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"4:26,084","3","Spieler:in","Oracle Red Bull Racing","Streckenbegrenzung überschritten","Warnung"
"4:45,637","3","Spieler:in","Oracle Red Bull Racing","Streckenbegrenzung überschritten","Warnung"
"4:46,321","3","Spieler:in","Oracle Red Bull Racing","Streckenbegrenzung überschritten","Warnung"
"4:46,338","3","Spieler:in","Oracle Red Bull Racing","Mehrere Warnungen","3 Sekunde(n)"
