"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","SFRT_cfc_1990","KICK Sauber","4","2","1:19,264","80:29,696","25","Spieler:in"
"2","MarlonBeckemeyer","Alpine","1","3","1:18,632","+14,039","18","Spieler:in"
"3","Schimpalla","KICK Sauber","11","1","1:19,658","+24,139","15","Spieler:in"
"4","snesHDenes","Haas","9","2","1:19,647","+31,592","12","Spieler:in"
"5","HewisLamilton64","Williams","10","3","1:20,162","+47,363","10","Spieler:in"
"6","DrSommer31","Visa Cash App Racing Bulls","5","2","1:19,502","+50,047","8","Spieler:in"
"7","Hladen1909","Aston Martin","12","2","1:20,193","+53,006","6","Spieler:in"
"8","Termiinator921","Alpine","7","2","1:19,760","+56,347","4","Spieler:in"
"9","Kuhregor","Aston Martin","8","2","1:20,537","+59,787","2","Spieler:in"
"10","BOB-19-90","Visa Cash App Racing Bulls","2","2","1:19,752","+ 1 Runde","1","Spieler:in"
"11","UnleashTheLionRB","Red Bull","6","1","1:21,423","DNF","0","Spieler:in"
"12","PatrickF1Racing","Scuderia Ferrari HP","3","1","1:21,368","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"13,806","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit PatrickF1Racing","Warnung"
"23,507","1","HewisLamilton64","Williams","Kurve abgekürzt","3 Sekunde(n)"
"27,085","1","Spieler:in","Aston Martin","Kollision mit snesHDenes","Warnung"
"27,510","1","HewisLamilton64","Williams","Kollision mit Spieler:in","Warnung"
"1:00,000","1","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"1:34,086","2","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"2:00,734","2","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"2:22,347","2","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"3:16,414","3","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"4:08,652","3","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"4:08,670","3","Kuhregor","Aston Martin","Mehrere Warnungen","3 Sekunde(n)"
"4:23,361","4","Termiinator921","Alpine","Kurve abgekürzt","Warnung"
"4:24,055","4","Spieler:in","Scuderia Ferrari HP","Kurve abgekürzt","Warnung"
"5:09,773","4","Spieler:in","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"7:11,675","6","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"9:18,038","7","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"10:40,959","8","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"11:56,534","9","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"12:36,781","10","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"12:36,796","10","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"14:48,494","11","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"15:04,747","11","Spieler:in","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"15:04,754","11","Spieler:in","Scuderia Ferrari HP","Mehrere Warnungen","3 Sekunde(n)"
"15:22,077","12","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"15:24,865","12","Spieler:in","Aston Martin","Kurve abgekürzt","Warnung"
"15:24,881","12","Spieler:in","Aston Martin","Mehrere Warnungen","3 Sekunde(n)"
"16:00,649","12","Spieler:in","Scuderia Ferrari HP","Totalschaden","DNF"
"21:01,543","15","Termiinator921","Alpine","Kurve abgekürzt","Warnung"
