"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","kzie73","Visa Cash App Racing Bulls","1","1","1:32,291","45:33,772","25","Spieler:in"
"2","mosewhat","Mercedes-AMG Petronas","7","1","1:32,565","+4,255","18","Spieler:in"
"3","lewa1305","Alpine","3","1","1:32,238","+6,872","15","Spieler:in"
"4","Schimpalla","KICK Sauber","5","1","1:32,355","+8,328","12","Spieler:in"
"5","Rene Zangelder","Williams","12","1","1:31,889","+12,256","10","Spieler:in"
"6","MagicBosna_","Aston Martin","8","1","1:32,480","+12,746","8","Spieler:in"
"7","HewisLamilton64","Mercedes-AMG Petronas","15","1","1:31,765","+13,713","6","Spieler:in"
"8","BG10126","Visa Cash App Racing Bulls","2","2","1:31,632","+16,309","4","Spieler:in"
"9","Tobi","Red Bull","6","1","1:32,091","+17,581","2","Spieler:in"
"10","Termiinator921","Scuderia Ferrari HP","9","2","1:32,231","+20,401","1","Spieler:in"
"11","F1Alonso14","Haas","11","1","1:32,687","+21,135","0","Spieler:in"
"12","SFRT_cfc_1990","KICK Sauber","13","2","1:31,816","+28,307","0","Spieler:in"
"13","Destroyer","Williams","14","1","1:32,393","+33,673","0","Spieler:in"
"14","MarlonBeckemeyer","Scuderia Ferrari HP","4","2","1:31,847","+35,815","0","Spieler:in"
"15","Ikaros212","Alpine","17","1","1:31,847","+38,800","0","Spieler:in"
"16","Marcolinski19","McLaren","18","2","1:32,383","+42,134","0","Spieler:in"
"17","snesHDenes","Haas","16","2","1:32,749","+49,332","0","Spieler:in"
"18","patrickf1racing","McLaren","10","2","1:32,549","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"18,952","1","Ikaros212","Alpine","Streckenbegrenzung überschritten","Warnung"
"27,430","1","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"1:47,139","2","MarlonBeckemeyer","Scuderia Ferrari HP","Kurve abgekürzt","Warnung"
"1:51,369","2","MarlonBeckemeyer","Scuderia Ferrari HP","Kollision mit Schimpalla","Warnung"
"1:55,584","2","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"2:01,534","2","Spieler:in","McLaren","Kollision mit Spieler:in","Warnung"
"2:15,320","2","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"3:22,574","3","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"3:26,406","3","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"3:29,583","3","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"3:30,879","3","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"3:30,897","3","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"5:20,063","4","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"6:46,056","5","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"6:53,426","5","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"6:54,139","5","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"6:59,504","5","Ikaros212","Alpine","Streckenbegrenzung überschritten","Warnung"
"8:13,536","6","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"8:14,352","6","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"9:41,413","7","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"12:30,235","8","Ikaros212","Alpine","Streckenbegrenzung überschritten","Warnung"
"12:30,259","8","Ikaros212","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"12:47,874","8","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"12:47,880","8","snesHDenes","Haas","Mehrere Warnungen","3 Sekunde(n)"
"14:03,496","9","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"15:37,601","10","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"16:20,468","11","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"17:01,283","11","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"17:10,493","11","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"17:53,978","12","Spieler:in","Mercedes-AMG Petronas","Kollision mit Spieler:in","Warnung"
"17:54,818","12","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"18:09,888","12","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"18:09,905","12","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"18:14,888","12","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"18:14,905","12","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"21:45,721","14","Spieler:in","KICK Sauber","Kurve abgekürzt","Warnung"
"22:46,762","14","Spieler:in","McLaren","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"23:11,562","15","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"24:08,882","16","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"24:30,506","16","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"25:33,697","17","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"26:42,042","17","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"26:46,005","17","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"26:46,013","17","Spieler:in","Williams","Mehrere Warnungen","3 Sekunde(n)"
"27:22,126","18","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"28:31,182","18","Spieler:in","Williams","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"29:12,753","19","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"30:07,486","19","MarlonBeckemeyer","Scuderia Ferrari HP","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"31:20,341","20","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"31:20,359","20","Spieler:in","Aston Martin","Mehrere Warnungen","3 Sekunde(n)"
"33:12,264","21","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"34:02,950","22","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"34:34,198","22","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"34:34,215","22","Spieler:in","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"35:25,001","23","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"35:25,019","23","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"36:56,099","24","Ikaros212","Alpine","Streckenbegrenzung überschritten","Warnung"
"37:30,973","24","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"38:13,934","25","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"38:23,774","25","Spieler:in","KICK Sauber","Kollision mit Termiinator921","Warnung"
"38:53,016","25","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"40:16,526","26","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"40:16,551","26","MarlonBeckemeyer","Scuderia Ferrari HP","Mehrere Warnungen","3 Sekunde(n)"
"40:17,020","26","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"40:59,508","26","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"41:44,925","27","Spieler:in","Red Bull","Kurve abgekürzt","Warnung"
"42:24,349","27","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"42:24,356","27","Schimpalla","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"43:06,086","28","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"43:45,142","28","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"44:20,195","29","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"44:34,292","29","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"44:34,308","29","Spieler:in","Aston Martin","Mehrere Warnungen","3 Sekunde(n)"
"45:38,343","29","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"45:56,602","29","MarlonBeckemeyer","Scuderia Ferrari HP","Nicht erfüllte Strafe","10 Sekunde(n)"
"45:57,450","29","Spieler:in","Williams","Nicht erfüllte Strafe","10 Sekunde(n)"
