"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","lewa1305","Alpine","4","2","1:50,562","43:31,415","25","Spieler:in"
"2","mosewhat","Mercedes-AMG Petronas","2","2","1:50,059","+5,605","18","Spieler:in"
"3","MagicBosna_","Aston Martin","7","2","1:51,041","+19,746","15","Spieler:in"
"4","Marcolinski19","Aston Martin","9","1","1:53,151","+35,298","12","Spieler:in"
"5","F1Alonso","Haas","14","2","1:55,423","+35,436","10","Spieler:in"
"6","SFRT_cfc_1990","Red Bull","17","2","1:54,464","+42,367","8","Spieler:in"
"7","Schimpalla","KICK Sauber","5","2","1:53,356","+43,362","6","Spieler:in"
"8","MarlonBeckemeyer","Scuderia Ferrari HP","3","2","1:54,423","+44,360","4","Spieler:in"
"9","snesHDenes","Haas","11","2","1:55,368","+52,856","2","Spieler:in"
"10","Enderbit","McLaren","13","2","1:57,251","+1:02,170","1","Spieler:in"
"11","Destroyer","Williams","8","1","1:54,393","+1:11,233","0","Spieler:in"
"12","HewisLamilton64","Mercedes-AMG Petronas","12","3","1:53,916","+1:21,161","0","Spieler:in"
"13","Termiinator921","Scuderia Ferrari HP","16","2","1:56,468","+1:24,499","0","Spieler:in"
"14","Pauli-Mauli-HD","McLaren","6","2","1:53,780","+1:39,358","0","Spieler:in"
"15","Rene Zangelder","Williams","15","2","1:57,629","+ 1 Runde","0","Spieler:in"
"16","Kzie73","Visa Cash App Racing Bulls","1","2","2:03,092","+ 2 Runden","0","Spieler:in"
"17","I-BanKsy10-I","Alpine","10","2","1:54,279","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"10,691","1","snesHDenes","Haas","Kollision mit Spieler:in","Warnung"
"10,710","1","Spieler:in","Williams","Kollision mit snesHDenes","Warnung"
"16,844","1","Spieler:in","Haas","Kollision mit HewisLamilton64","Warnung"
"22,018","1","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"1:39,506","1","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"2:36,801","2","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"2:52,430","2","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"4:28,361","3","Spieler:in","Alpine","Kurve abgekürzt","Warnung"
"5:31,366","3","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"5:47,558","3","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"6:17,973","4","Spieler:in","Aston Martin","Kurve abgekürzt","Warnung"
"6:38,329","4","Spieler:in","Williams","Kurve abgekürzt","Warnung"
"8:40,025","5","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"8:41,906","5","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"9:54,506","5","HewisLamilton64","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"10:33,739","6","Spieler:in","Red Bull","Kollision mit Spieler:in","Warnung"
"12:29,053","7","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"12:34,103","7","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"13:57,643","7","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
