"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","kzie73","Visa Cash App Racing Bulls","1","1","1:10,363","43:39,677","25","Spieler:in"
"2","Schimpalla","KICK Sauber","3","1","1:11,254","+10,928","18","Spieler:in"
"3","KC1FLY","McLaren","13","1","1:11,523","+23,451","15","Spieler:in"
"4","lewa1305","Alpine","4","2","1:10,519","+24,003","12","Spieler:in"
"5","mosewhat","Mercedes-AMG Petronas","6","1","1:11,257","+24,636","10","Spieler:in"
"6","Termiinator921","Scuderia Ferrari HP","12","1","1:11,416","+30,871","8","Spieler:in"
"7","F1Alonso14","Haas","14","1","1:11,753","+35,642","6","Spieler:in"
"8","SFRT_cfc_1990","KICK Sauber","9","1","1:11,413","+35,890","4","Spieler:in"
"9","snesHDenes","Haas","16","1","1:11,101","+41,196","2","Spieler:in"
"10","HewisLamilton64","Mercedes-AMG Petronas","7","2","1:11,278","+41,513","1","Spieler:in"
"11","UnleashTheLionRB","Red Bull","8","2","1:11,046","+1:00,457","0","Spieler:in"
"12","MarlonBeckemeyer","Scuderia Ferrari HP","10","2","1:11,622","+1:14,206","0","Spieler:in"
"13","Destroyer","Williams","11","2","1:09,936","+ 1 Runde","0","Spieler:in"
"14","Rene Zangelder","Williams","15","2","1:10,234","+ 1 Runde","0","Spieler:in"
"15","Marcolinski19","Aston Martin","5","3","1:10,909","+ 1 Runde","0","Spieler:in"
"16","patrickf1racing","McLaren","17","1","1:11,876","+ 2 Runden","0","Spieler:in"
"17","I‑BanKsy10‑I","Alpine","2","1","1:11,138","DNF","0","Spieler:in"
"18","Ikaros212","Red Bull","18","1","1:11,986","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"11,287","1","Schimpalla","KICK Sauber","Kollision mit I‑BanKsy10‑I","Warnung"
"14,192","1","UnleashTheLionRB","Red Bull","Kollision mit Spieler:in","Warnung"
"14,202","1","Spieler:in","KICK Sauber","Kollision mit UnleashTheLionRB","Warnung"
"14,539","1","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"14,522","1","HewisLamilton64","Mercedes-AMG Petronas","Kollision mit MarlonBeckemeyer","Warnung"
"14,570","1","MarlonBeckemeyer","Scuderia Ferrari HP","Kollision mit HewisLamilton64","Warnung"
"15,098","1","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"34,496","1","KC1FLY","McLaren","Streckenbegrenzung überschritten","Warnung"
"1:24,974","2","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"1:44,401","2","KC1FLY","McLaren","Kollision mit Spieler:in","Warnung"
"2:00,665","2","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"2:19,174","2","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"3:01,222","3","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:12,530","3","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"3:12,622","3","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"3:48,008","4","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"4:59,255","5","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"5:04,254","5","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"5:06,161","5","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"5:36,550","5","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"6:20,890","6","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"7:31,169","7","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"8:11,479","7","HewisLamilton64","Mercedes-AMG Petronas","Kollision mit KC1FLY","Warnung"
"10:01,517","9","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"10:01,534","9","Spieler:in","Haas","Mehrere Warnungen","3 Sekunde(n)"
"10:19,065","9","snesHDenes","Haas","Kollision mit Spieler:in","Warnung"
"10:19,080","9","Spieler:in","Williams","Kollision mit snesHDenes","Warnung"
"11:26,647","10","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"11:26,664","10","Termiinator921","Scuderia Ferrari HP","Mehrere Warnungen","3 Sekunde(n)"
"11:57,460","10","Spieler:in","Williams","Kollision mit snesHDenes","Warnung"
"12:14,320","10","Spieler:in","Aston Martin","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"12:34,286","10","Spieler:in","Red Bull","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"13:20,269","11","Spieler:in","Alpine","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"15:04,505","13","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"15:10,494","13","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"17:09,033","15","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"17:10,252","14","Spieler:in","KICK Sauber","Kollision mit I‑BanKsy10‑I","Warnung"
"17:10,587","15","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"17:21,479","15","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"20:25,974","17","HewisLamilton64","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"20:28,980","17","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"20:57,043","17","Spieler:in","Williams","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"21:22,096","17","MarlonBeckemeyer","Scuderia Ferrari HP","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"22:16,648","19","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"22:16,653","19","snesHDenes","Haas","Mehrere Warnungen","3 Sekunde(n)"
"24:15,121","20","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"26:11,606","22","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"26:34,777","22","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"29:03,663","24","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"29:03,681","24","Spieler:in","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"29:27,962","24","Spieler:in","Aston Martin","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"31:07,398","26","KC1FLY","McLaren","Streckenbegrenzung überschritten","Warnung"
"31:13,713","26","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"31:47,873","26","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"31:47,880","26","Spieler:in","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"31:48,264","26","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"31:48,281","26","Termiinator921","Scuderia Ferrari HP","Mehrere Warnungen","3 Sekunde(n)"
"31:48,793","26","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"31:48,805","26","UnleashTheLionRB","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"33:19,152","28","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"33:47,074","28","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"33:50,492","28","HewisLamilton64","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"34:02,828","28","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"34:02,832","28","Spieler:in","Williams","Mehrere Warnungen","3 Sekunde(n)"
"34:03,829","28","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"35:21,785","29","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"35:21,791","29","MarlonBeckemeyer","Scuderia Ferrari HP","Mehrere Warnungen","3 Sekunde(n)"
"35:36,895","30","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"36:17,973","30","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"36:59,632","30","Spieler:in","Williams","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"37:01,842","31","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"39:59,793","33","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"40:11,255","33","MarlonBeckemeyer","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"41:41,634","34","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"42:05,346","35","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"42:13,330","35","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"43:07,076","36","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"43:07,093","36","Spieler:in","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"43:08,495","36","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"43:15,133","36","HewisLamilton64","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"43:15,149","36","HewisLamilton64","Mercedes-AMG Petronas","Mehrere Warnungen","3 Sekunde(n)"
"43:17,081","36","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"43:17,098","36","Spieler:in","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"43:43,386","35","Spieler:in","Williams","Nicht erfüllte Strafe","10 Sekunde(n)"
"44:40,889","36","MarlonBeckemeyer","Scuderia Ferrari HP","Nicht erfüllte Strafe","10 Sekunde(n)"
