"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","PatrickF1Racing","Scuderia Ferrari HP","2","1","1:30,399","40:01,709","25","Spieler:in"
"2","SFRT_cfc_1990","KICK Sauber","6","1","1:30,468","+0,387","18","Spieler:in"
"3","Schimpalla","KICK Sauber","3","1","1:30,471","+4,459","15","Spieler:in"
"4","pipo_st180","Haas","5","1","1:30,704","+5,706","12","Spieler:in"
"5","KC1FLY","Scuderia Ferrari HP","1","1","1:30,403","+9,487","10","Spieler:in"
"6","martinbuc72","Williams","4","1","1:30,618","+10,082","8","Spieler:in"
"7","BOB-19-90","Visa Cash App Racing Bulls","11","1","1:31,019","+23,423","6","Spieler:in"
"8","Galendex00","Red Bull","7","1","1:31,166","+24,642","4","Spieler:in"
"9","Termiinator921","Alpine","10","1","1:31,069","+30,608","2","Spieler:in"
"10","DrSommer31","Visa Cash App Racing Bulls","13","1","1:30,850","+34,488","1","Spieler:in"
"11","snesHDenes","Haas","9","1","1:30,843","+36,331","0","Spieler:in"
"12","MarlonBeckemeyer","Alpine","15","1","1:30,037","+36,603","0","Spieler:in"
"13","Hladen1909","Aston Martin","14","1","1:31,396","+38,690","0","Spieler:in"
"14","KalleMotzig","McLaren","16","1","1:31,218","+39,405","0","Spieler:in"
"15","Charles_Leclerc3","McLaren","12","1","1:31,371","+43,986","0","Spieler:in"
"16","TheShieldTheNext","Williams","18","2","1:30,393","+46,903","0","Spieler:in"
"17","KevinHSV1996","Mercedes-AMG Petronas","20","2","1:30,405","+1:00,198","0","Spieler:in"
"18","Kuhregor","Aston Martin","8","1","1:31,085","+1:03,536","0","Spieler:in"
"19","RACSwixF1","Mercedes-AMG Petronas","19","2","1:30,500","+1:29,152","0","Spieler:in"
"20","Nejc_jr","Red Bull","17","3","1:28,935","+1:37,513","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"11,670","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit Termiinator921","Warnung"
"12,967","1","Spieler:in","Red Bull","Kollision mit Spieler:in","Warnung"
"12,981","1","Spieler:in","Alpine","Kollision mit Spieler:in","Warnung"
"13,534","1","RACSwixF1","Mercedes-AMG Petronas","Kollision mit Spieler:in","Warnung"
"23,735","1","Kuhregor","Aston Martin","Kollision mit Termiinator921","Warnung"
"23,744","1","Termiinator921","Alpine","Kollision mit Kuhregor","Warnung"
"23,989","1","snesHDenes","Haas","Kollision mit Termiinator921","Warnung"
"28,673","1","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"55,667","1","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"59,822","1","Spieler:in","Aston Martin","Kollision mit DrSommer31","Warnung"
"1:35,793","1","Spieler:in","Red Bull","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"1:40,329","1","RACSwixF1","Mercedes-AMG Petronas","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"2:42,032","2","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:45,481","3","Galendex00","Red Bull","Kollision mit Termiinator921","Warnung"
"4:00,974","3","Galendex00","Red Bull","Streckenbegrenzung überschritten","Warnung"
"4:14,939","3","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"4:21,178","3","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"4:21,429","3","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"4:21,444","3","Termiinator921","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"4:39,661","3","KalleMotzig","McLaren","Streckenbegrenzung überschritten","Warnung"
"5:02,290","4","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"5:42,413","4","Termiinator921","Alpine","Streckenbegrenzung überschritten","Warnung"
"5:44,930","4","KevinHSV1996","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"6:00,566","4","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"8:45,266","6","Charles_Leclerc3","McLaren","Streckenbegrenzung überschritten","Warnung"
