"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","Schimpalla","KICK Sauber","1","1","1:29,277","39:58,104","25","Spieler:in"
"2","Tobi","Red Bull","2","2","1:29,318","+25,799","18","Spieler:in"
"3","Maxt7gerrang","Haas","3","1","1:29,327","+27,909","15","Spieler:in"
"4","F1Alonso14","Scuderia Ferrari HP","8","1","1:30,358","+29,645","12","Spieler:in"
"5","DrSommer31","McLaren","6","2","1:30,486","+45,109","10","Spieler:in"
"6","Influsplit190188","Williams","9","2","1:30,182","+52,906","8","Spieler:in"
"7","snesHDenes","Haas","5","2","1:30,178","+1:06,926","6","Spieler:in"
"8","Kuhregor","Mercedes-AMG Petronas","7","3","1:29,187","+1:11,811","4","Spieler:in"
"9","MarlonBeckemeyer","Alpine","4","2","1:28,739","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"12,072","1","Spieler:in","Alpine","Kollision mit Spieler:in","Warnung"
"12,081","1","Spieler:in","Haas","Kollision mit MarlonBeckemeyer","Warnung"
"55,532","1","Kuhregor","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"4:29,491","3","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"7:12,649","5","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"17:17,382","11","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"19:27,788","13","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"22:28,560","15","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"26:05,375","17","Kuhregor","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"26:06,559","17","Spieler:in","Alpine","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"30:38,062","20","Spieler:in","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"31:05,038","20","Spieler:in","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"32:13,660","21","Spieler:in","Alpine","Totalschaden","DNF"
"33:16,917","22","snesHDenes","Haas","Rasen während VSC-Phase","Durchfahren"
"34:25,282","22","snesHDenes","Haas","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"40:55,031","26","snesHDenes","Haas","Nicht erfüllte Strafe","10 Sekunde(n)"
