"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","Marcolinski19","Aston Martin","8","2","1:13,352","48:41,963","25","Spieler:in"
"2","SFRT_cfc_1990","KICK Sauber","4","2","1:12,795","+1,211","18","Spieler:in"
"3","Schimpalla","KICK Sauber","6","2","1:12,846","+1,412","15","Spieler:in"
"4","kzie73","Visa Cash App Racing Bulls","2","1","1:12,840","+2,690","12","Spieler:in"
"5","Destroyer","Williams","16","3","1:13,718","+3,347","10","Spieler:in"
"6","lewa1305","Alpine","15","3","1:12,750","+3,756","8","Spieler:in"
"7","Silva","McLaren","1","2","1:11,827","+5,797","6","Spieler:in"
"8","Tobi","Red Bull","13","1","1:13,328","+6,963","4","Spieler:in"
"9","snesHDenes","Haas","11","5","1:13,766","+7,057","2","Spieler:in"
"10","F1Alonso","Haas","12","2","1:13,246","+7,568","1","Spieler:in"
"11","Rene Zangelder","Williams","17","2","1:13,694","+8,991","0","Spieler:in"
"12","mosewhat","Mercedes-AMG Petronas","3","3","1:12,672","+9,021","0","Spieler:in"
"13","BG10126","Visa Cash App Racing Bulls","5","1","1:13,351","+31,120","0","Spieler:in"
"14","HewisLamilton64","Mercedes-AMG Petronas","14","3","1:13,382","+ 1 Runde","0","Spieler:in"
"15","UnleashTheLionRB","Red Bull","9","1","1:13,271","DNF","0","Spieler:in"
"16","MagicBosna_","Aston Martin","7","1","1:13,343","DNF","0","Spieler:in"
"17","I-I‑BanKsy10‑I","Alpine","10","0","1:31,768","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"11,982","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit MagicBosna_","Warnung"
"12,482","1","Spieler:in","KICK Sauber","Kollision mit MagicBosna_","Warnung"
"12,827","1","snesHDenes","Haas","Kollision mit I‑BanKsy10‑I","Warnung"
"12,844","1","Spieler:in","Alpine","Kollision mit snesHDenes","Warnung"
"25,209","1","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"1:15,122","1","Spieler:in","McLaren","Kurve abgekürzt","Warnung"
"1:15,399","1","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:35,892","2","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:46,903","2","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"1:57,847","2","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"1:59,158","2","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"2:25,703","2","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"2:48,859","3","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"2:51,266","3","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"2:51,282","3","Spieler:in","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"2:52,601","3","HewisLamilton64","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"3:42,456","3","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"3:42,461","3","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
