"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","kzie73","Visa Cash App Racing Bulls","1","2","1:12,900","51:21,561","25","Spieler:in"
"2","SFRT_cfc_1990","KICK Sauber","5","2","1:13,630","+0,503","18","Spieler:in"
"3","F1Alonso14","Haas","10","2","1:14,270","+12,252","15","Spieler:in"
"4","Enderbit","McLaren","16","2","1:13,942","+24,147","12","Spieler:in"
"5","mosewhat","Mercedes-AMG Petronas","3","3","1:12,759","+25,241","10","Spieler:in"
"6","Schimpalla","KICK Sauber","4","2","1:13,266","+40,605","8","Spieler:in"
"7","Ikaros212","Aston Martin","8","2","1:13,867","+42,350","6","Spieler:in"
"8","Termiinator921","Scuderia Ferrari HP","12","3","1:14,878","+53,540","4","Spieler:in"
"9","BG10126","Visa Cash App Racing Bulls","2","5","1:13,977","+ 1 Runde","2","Spieler:in"
"10","snesHDenes","Haas","18","4","1:14,502","+ 1 Runde","1","Spieler:in"
"11","I-BanKsy10-I","Alpine","9","3","1:13,544","+ 2 Runden","0","Spieler:in"
"12","Tobi","Red Bull","15","2","1:14,252","+ 3 Runden","0","Spieler:in"
"13","lewa1305","Alpine","7","2","1:13,481","DNF","0","Spieler:in"
"14","Pauli-Mauli-HD","McLaren","11","1","1:15,020","DNF","0","Spieler:in"
"15","Rene-Zangelder","Williams","14","3","1:15,665","DNF","0","Spieler:in"
"16","Destroyer","Williams","17","1","1:14,382","DNF","0","Spieler:in"
"17","UnleashTheLionRB","Red Bull","13","0","--:--,---","DNF","0","Spieler:in"
"18","Marcolinski19","Aston Martin","6","1","1:13,858","DSQ","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"53,834","1","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"1:04,508","1","Spieler:in","Red Bull","Totalschaden","DNF"
"2:25,055","2","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"2:59,625","2","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"3:32,363","3","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"6:01,608","5","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"6:20,103","5","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"6:30,140","5","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"6:32,608","6","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"6:32,613","6","Spieler:in","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"7:29,834","6","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"7:30,128","6","Termiinator921","Scuderia Ferrari HP","Kurve abgekürzt","3 Sekunde(n)"
"8:46,269","7","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"11:06,209","9","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"11:31,831","9","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"12:22,914","10","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"12:39,333","10","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"12:46,577","10","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"13:15,573","10","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
