"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","PatrickF1Racing","Scuderia Ferrari HP","1","1","1:12,289","44:59,377","25","Spieler:in"
"2","HewisLamilton64","Williams","5","1","1:12,709","+9,687","18","Spieler:in"
"3","KC1FLY","Scuderia Ferrari HP","2","1","1:13,000","+9,933","15","Spieler:in"
"4","BOB-19-90","Visa Cash App Racing Bulls","7","1","1:12,771","+14,560","12","Spieler:in"
"5","snesHDenes","Haas","3","1","1:13,420","+14,713","10","Spieler:in"
"6","KevinHSV1996","Mercedes-AMG Petronas","10","2","1:12,416","+15,228","8","Spieler:in"
"7","Hladen1909","Aston Martin","14","1","1:12,788","+23,852","6","Spieler:in"
"8","DrSommer31","Visa Cash App Racing Bulls","9","2","1:12,183","+38,051","4","Spieler:in"
"9","TheRealLionsfan","Red Bull","11","2","1:12,069","+38,859","2","Spieler:in"
"10","MarlonBeckemeyer","Alpine","4","1","1:12,544","+39,296","1","Spieler:in"
"11","Schimpalla","KICK Sauber","6","1","1:12,609","+42,027","0","Spieler:in"
"12","SFRT_cfc_1990","KICK Sauber","12","2","1:12,755","+48,296","0","Spieler:in"
"13","Kuhregor","Aston Martin","8","3","1:11,680","+54,355","0","Spieler:in"
"14","TheShieldTheNext","McLaren","13","2","1:12,416","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"10,053","1","TheShieldTheNext","McLaren","Kollision mit Spieler:in","Warnung"
"10,074","1","Spieler:in","Aston Martin","Kollision mit TheShieldTheNext","Warnung"
"13,051","1","Kuhregor","Aston Martin","Kollision mit Schimpalla","Warnung"
"58,410","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit Spieler:in","Warnung"
"1:37,132","1","Spieler:in","KICK Sauber","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"4:26,350","4","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"4:36,409","4","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"10:56,941","9","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"12:19,747","10","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"17:02,755","14","Kuhregor","Aston Martin","Kurve abgekürzt","Warnung"
"17:19,998","14","MarlonBeckemeyer","Alpine","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"18:37,883","15","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"23:44,773","19","Spieler:in","KICK Sauber","Kurve abgekürzt","Warnung"
"25:07,474","20","Schimpalla","KICK Sauber","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"25:40,138","21","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"31:10,990","25","KC1FLY","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"37:25,765","30","MarlonBeckemeyer","Alpine","Rasen während VSC-Phase","Durchfahren"
"37:37,387","29","TheShieldTheNext","McLaren","Totalschaden","DNF"
"41:35,193","33","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"41:35,210","33","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"41:58,007","34","MarlonBeckemeyer","Alpine","Kurve abgekürzt","3 Sekunde(n)"
"44:53,674","36","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"45:25,676","36","MarlonBeckemeyer","Alpine","Nicht erfüllte Strafe","10 Sekunde(n)"
"45:31,407","36","Schimpalla","KICK Sauber","Nicht erfüllte Strafe","10 Sekunde(n)"
