"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","MarlonBeckemeyer","Scuderia Ferrari HP","6","2","1:30,808","42:10,139","25","Spieler:in"
"2","lewa1305","Alpine","7","2","1:30,936","+0,964","18","Spieler:in"
"3","kzie73","Visa Cash App Racing Bulls","1","1","1:30,979","+1,593","15","Spieler:in"
"4","SFRT_cfc_1990","KICK Sauber","5","2","1:31,369","+2,349","12","Spieler:in"
"5","MagicBosna_","Aston Martin","10","2","1:31,496","+4,090","10","Spieler:in"
"6","mosewhat","Mercedes-AMG Petronas","4","2","1:30,909","+5,673","8","Spieler:in"
"7","Schimpalla","KICK Sauber","11","1","1:31,294","+5,791","6","Spieler:in"
"8","Enderbit","McLaren","17","2","1:31,819","+7,856","4","Spieler:in"
"9","Marcolinski19","Aston Martin","15","2","1:31,243","+7,877","2","Spieler:in"
"10","F1Alonso14","Haas","16","2","1:32,558","+8,879","1","Spieler:in"
"11","Tobi","Red Bull","3","2","1:31,003","+9,367","0","Spieler:in"
"12","snesHDenes","Haas","20","2","1:32,243","+9,438","0","Spieler:in"
"13","I-BanKsy10-I","Alpine","12","2","1:31,591","+13,923","0","Spieler:in"
"14","Destroyer","Williams","13","2","1:31,592","+20,289","0","Spieler:in"
"15","UnleashTheLionRB","Red Bull","8","2","1:31,320","+24,389","0","Spieler:in"
"16","Rene Zangelder","Williams","19","2","1:32,658","+26,189","0","Spieler:in"
"17","HewisLamilton64","Mercedes-AMG Petronas","18","4","1:31,932","+ 3 Runden","0","Spieler:in"
"18","Silva","McLaren","2","1","1:31,416","DNF","0","Spieler:in"
"19","BG10126","Visa Cash App Racing Bulls","9","1","1:31,284","DNF","0","Spieler:in"
"20","Termiinator921","Scuderia Ferrari HP","14","1","1:44,315","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"15,705","1","Spieler:in","Alpine","Kollision mit Spieler:in","Warnung"
"21,295","1","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"1:09,941","1","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"2:12,044","2","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"3:40,893","3","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:46,179","3","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"4:36,341","3","Spieler:in","Scuderia Ferrari HP","Kurve abgekürzt","3 Sekunde(n)"
"4:39,709","3","Spieler:in","Scuderia Ferrari HP","Totalschaden","DNF"
"5:01,507","4","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"9:04,485","6","Spieler:in","Visa Cash App Racing Bulls","Kollision mit Spieler:in","Warnung"
"9:11,788","6","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"9:45,576","6","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"10:01,983","6","Spieler:in","Alpine","Kurve abgekürzt","Warnung"
"10:11,010","6","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"11:12,351","7","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"11:50,030","7","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"12:22,581","8","Spieler:in","Aston Martin","Kurve abgekürzt","3 Sekunde(n)"
"12:44,521","8","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"14:24,974","9","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"14:25,549","9","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"15:54,944","10","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"15:54,951","10","Spieler:in","Williams","Mehrere Warnungen","3 Sekunde(n)"
"16:04,560","10","snesHDenes","Haas","Kollision mit Spieler:in","Warnung"
"16:04,562","10","Spieler:in","Alpine","Kollision mit snesHDenes","Warnung"
