"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","SFRT_cfc_1990","KICK Sauber","3","1","1:33,539","49:35,694","25","Spieler:in"
"2","Schimpalla","KICK Sauber","1","1","1:33,253","+1,073","18","Spieler:in"
"3","KC1FLY","Scuderia Ferrari HP","5","1","1:33,495","+2,869","15","Spieler:in"
"4","TheRealLiopnsfan","McLaren","10","1","1:33,950","+35,094","12","Spieler:in"
"5","DrSommer31","Visa Cash App Racing Bulls","14","1","1:33,972","+40,996","10","Spieler:in"
"6","snesHDenes","Haas","12","1","1:34,322","+41,677","8","Spieler:in"
"7","Termiinator921","Alpine","9","2","1:33,386","+45,611","6","Spieler:in"
"8","PatrickF1Racing","Scuderia Ferrari HP","6","2","1:33,248","+45,907","4","Spieler:in"
"9","TheShieldTheNext","McLaren","11","2","1:34,173","+1:02,640","2","Spieler:in"
"10","BOB-19-90","Visa Cash App Racing Bulls","8","2","1:33,688","+1:02,845","1","Spieler:in"
"11","KalleMotzig","Mercedes-AMG Petronas","13","2","1:33,830","+1:03,870","0","Spieler:in"
"12","Hladen1909","Aston Martin","7","1","1:33,179","+1:11,328","0","Spieler:in"
"13","Kuhregor","Aston Martin","15","2","1:32,771","+1:11,704","0","Spieler:in"
"14","UnleashTheLionRB","Red Bull","2","2","1:32,094","+1:16,337","0","Spieler:in"
"15","MarlonBeckemeyer","Alpine","4","1","1:33,860","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"13,648","1","TheShieldTheNext","McLaren","Kollision mit Spieler:in","Warnung"
"1:17,333","1","KC1FLY","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"1:20,388","1","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"2:43,055","2","Termiinator921","Alpine","Kollision mit TheShieldTheNext","Warnung"
"3:14,443","2","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"3:49,441","3","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"4:18,176","3","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"4:35,483","3","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"4:43,607","3","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:04,452","4","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:04,463","4","UnleashTheLionRB","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"6:10,826","4","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"8:50,258","6","PatrickF1Racing","Scuderia Ferrari HP","Weiße Linie an der Boxengassenausfahrt überfahren","Warnung"
"11:44,681","8","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"11:44,752","8","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"15:28,497","10","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"15:28,564","10","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"16:06,532","10","Kuhregor","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"18:18,255","12","UnleashTheLionRB","Red Bull","Weiße Linie an der Boxengassenausfahrt überfahren","Warnung"
"18:18,434","12","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"19:46,073","12","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"21:20,154","13","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"21:20,166","13","UnleashTheLionRB","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"22:46,756","14","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"22:47,189","14","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"22:47,953","15","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"22:48,330","15","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"26:10,753","17","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"26:10,787","17","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"27:19,329","17","Spieler:in","Alpine","Totalschaden","DNF"
"28:24,806","18","Spieler:in","Visa Cash App Racing Bulls","Weiße Linie an der Boxengassenausfahrt überfahren","Warnung"
"29:03,840","18","TheShieldTheNext","McLaren","Streckenbegrenzung überschritten","Warnung"
"29:03,857","18","TheShieldTheNext","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"30:51,262","19","TheShieldTheNext","McLaren","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"35:18,833","22","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"35:18,888","22","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"35:18,898","22","UnleashTheLionRB","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
