"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","Lewa1305","Alpine","5","1","1:32,631","49:21,561","25","Spieler:in"
"2","kzie73","Visa Cash App Racing Bulls","2","1","1:32,371","+5,326","18","Spieler:in"
"3","mosewhat","Mercedes-AMG Petronas","1","1","1:32,585","+8,154","15","Spieler:in"
"4","SFRT_cfc_1990","KICK Sauber","7","1","1:33,487","+13,654","12","Spieler:in"
"5","Tobi","Red Bull","10","1","1:32,516","+16,452","10","Spieler:in"
"6","I-BanKsy10-I","Alpine","4","2","1:32,595","+32,503","8","Spieler:in"
"7","BG10126","Visa Cash App Racing Bulls","15","1","1:33,376","+33,389","6","Spieler:in"
"8","MarlonBeckemeyer","Scuderia Ferrari HP","3","1","1:33,053","+34,664","4","Spieler:in"
"9","Termiinator921","Scuderia Ferrari HP","13","1","1:33,875","+51,282","2","Spieler:in"
"10","Schimpalla","KICK Sauber","6","1","1:33,534","+51,835","1","Spieler:in"
"11","Rene Zangelder","Williams","14","1","1:33,701","+52,304","0","Spieler:in"
"12","Marcolinski19","Aston Martin","17","1","1:33,645","+59,902","0","Spieler:in"
"13","F1Alonso14","Haas","18","1","1:34,753","+59,990","0","Spieler:in"
"14","Destroyer","Williams","12","1","1:33,994","+1:10,428","0","Spieler:in"
"15","patrickf1racing","McLaren","8","2","1:32,441","+1:26,945","0","Spieler:in"
"16","HewisLamilton64","Mercedes-AMG Petronas","16","3","1:33,173","+ 1 Runde","0","Spieler:in"
"17","snesHDenes","Haas","19","2","1:33,695","+ 1 Runde","0","Spieler:in"
"18","MagicBosna_","Aston Martin","11","2","1:33,392","DNF","0","Spieler:in"
"19","UnleshTheLionRB","Red Bull","9","2","1:33,596","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"20,981","1","Spieler:in","Visa Cash App Racing Bulls","Kollision mit Termiinator921","Warnung"
"28,471","1","Spieler:in","Aston Martin","Kollision mit Spieler:in","Warnung"
"4:33,486","3","HewisLamilton64","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"4:35,130","3","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"4:44,476","3","Spieler:in","Aston Martin","Streckenbegrenzung überschritten","Warnung"
"5:15,035","4","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"6:32,629","5","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"6:36,370","5","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"6:41,197","5","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"8:44,236","6","HewisLamilton64","Mercedes-AMG Petronas","Weiße Linie an der Boxengassenausfahrt überfahren","Warnung"
"10:50,569","7","Spieler:in","Mercedes-AMG Petronas","Kurve abgekürzt","Warnung"
"11:07,418","7","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"12:56,948","8","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"13:20,390","9","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"16:07,327","10","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"17:30,644","11","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"18:30,609","12","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"19:29,271","12","Spieler:in","Red Bull","Rasen in der Boxengasse","10 Sekunden Zeitstrafe"
"20:21,237","13","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"20:21,242","13","Spieler:in","Williams","Mehrere Warnungen","3 Sekunde(n)"
