"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","KC1FLY","Scuderia Ferrari HP","1","1","1:28,470","50:21,544","25","Spieler:in"
"2","TheRealLionsfan","McLaren","4","1","1:28,568","+10,969","18","Spieler:in"
"3","SFRT_cfc_1990","KICK Sauber","8","1","1:28,890","+20,131","15","Spieler:in"
"4","KevinHSV1996","Mercedes-AMG Petronas","11","1","1:27,984","+20,912","12","Spieler:in"
"5","HewisLamilton64","Williams","7","1","1:28,944","+26,813","10","Spieler:in"
"6","qDecaay","Red Bull","13","0","1:29,593","+29,426","8","Spieler:in"
"7","DrSommer31","Visa Cash App Racing Bulls","9","1","1:28,571","+31,033","6","Spieler:in"
"8","Kuhregor","Aston Martin","12","2","1:28,395","+50,256","4","Spieler:in"
"9","PatrickF1Racing","Scuderia Ferrari HP","2","2","1:28,211","+1:04,499","2","Spieler:in"
"10","TheShieldTheNext","McLaren","10","1","1:29,547","+1:06,752","1","Spieler:in"
"11","Schimpalla","KICK Sauber","3","2","1:28,288","+1:13,275","0","Spieler:in"
"12","Elias_Der_Echte","Mercedes-AMG Petronas","14","2","1:29,047","+1:18,614","0","Spieler:in"
"13","snesHDenes","Haas","16","2","1:29,341","+1:29,558","0","Spieler:in"
"14","kzie73","Alpine","17","1","1:35,941","+ 2 Runden","0","Spieler:in"
"15","MarlonBeckemeyer","Alpine","6","2","1:29,087","DNF","0","Spieler:in"
"16","UnleashTheLionRB","Red Bull","5","1","1:31,869","DNF","0","Spieler:in"
"17","Hladen1909","Aston Martin","15","1","1:32,077","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"18,906","1","Schimpalla","KICK Sauber","Kollision mit Spieler:in","Warnung"
"57,098","1","Spieler:in","Alpine","Kollision mit Spieler:in","Warnung"
"3:11,360","2","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"3:11,394","2","HewisLamilton64","Williams","Streckenbegrenzung überschritten","Warnung"
"3:24,723","3","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"4:04,465","3","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"4:33,583","3","PatrickF1Racing","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
"5:31,292","4","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"5:31,355","4","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"5:31,903","4","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"5:31,913","4","Spieler:in","Alpine","Mehrere Warnungen","3 Sekunde(n)"
"5:32,951","4","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:32,985","4","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"7:26,780","5","Schimpalla","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"7:26,787","5","Schimpalla","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"7:33,748","5","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"7:33,798","5","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"8:09,189","6","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"8:09,197","6","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"8:28,772","6","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"8:28,789","6","Spieler:in","McLaren","Mehrere Warnungen","3 Sekunde(n)"
"8:36,941","6","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"8:37,300","6","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"10:49,145","7","Spieler:in","McLaren","Streckenbegrenzung überschritten","Warnung"
"11:00,871","7","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"11:01,070","7","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"11:01,119","7","Spieler:in","Visa Cash App Racing Bulls","Streckenbegrenzung überschritten","Warnung"
"11:01,136","7","Spieler:in","Visa Cash App Racing Bulls","Mehrere Warnungen","3 Sekunde(n)"
