"Pos.","Driver","Team","Grid","Stops","Best","Time","Pts.","driver type"
"1","Player","McLaren","2","1","1:29.561","43:58.345","25","Player"
"2","Player","Scuderia Ferrari HP","1","3","1:29.478","+5.647","18","Player"
"3","Player","Mercedes-AMG Petronas","5","1","1:29.460","+8.872","15","Player"
"4","Player","Visa Cash App Racing Bulls","15","2","1:30.357","+28.116","12","Player"
"5","Player","Visa Cash App Racing Bulls","6","1","1:30.699","+28.656","10","Player"
"6","Termiinator921","Aston Martin","8","3","1:30.801","+42.493","8","Player"
"7","Player","Williams","12","2","1:30.746","+43.071","6","Player"
"8","Player","Mercedes-AMG Petronas","11","2","1:31.555","+44.943","4","Player"
"9","Player","KICK Sauber","10","3","1:30.140","+1:05.857","2","Player"
"10","Player","Williams","13","2","1:31.552","+1:07.393","1","Player"
"11","Player","Aston Martin","4","3","1:30.274","+1:11.216","0","Player"
"12","Ikaros212","KICK Sauber","7","3","1:29.363","+1:28.290","0","Player"
"13","Player","Haas","3","2","1:30.984","+1:37.792","0","Player"
"14","Player","Scuderia Ferrari HP","14","4","1:31.900","+ 1 Lap","0","Player"
"15","Player","Alpine","9","1","1:46.154","DNF","0","Player"
"16","Player","Alpine","16","1","1:50.650","DNF","0","Player"

"Time","Lap","Driver","Team","Incident","Penalty"
"13.164","1","Player","Aston Martin","Collision With Player","Warning"
"13.152","1","Player","Visa Cash App Racing Bulls","Collision With Player","Warning"
"13.406","1","Termiinator921","Aston Martin","Collision With MagicBosna_","Warning"
"13.434","1","Player","Alpine","Collision With Termiinator921","Warning"
"15.091","1","Player","McLaren","Collision With Player","Warning"
"19.038","1","Player","Aston Martin","Corner Cutting","3 Second(s)"
"22.430","1","Player","Mercedes-AMG Petronas","Collision With Player","Warning"
"3:42.249","3","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"3:45.753","3","Player","Alpine","Exceeded Track Limits","Warning"
"4:13.687","3","Player","Aston Martin","Exceeded Track Limits","Warning"
"5:27.568","3","Termiinator921","Aston Martin","Exceeded Track Limits","Warning"
"5:38.721","4","Player","KICK Sauber","Exceeded Track Limits","Warning"
"6:15.607","4","Player","Alpine","Exceeded Track Limits","Warning"
"6:25.831","4","Player","KICK Sauber","Exceeded Track Limits","Warning"
"6:35.346","4","Player","Alpine","Exceeded Track Limits","Warning"
"6:42.910","4","Termiinator921","Aston Martin","Exceeded Track Limits","Warning"
"7:18.146","5","Player","Alpine","Exceeded Track Limits","Warning"
"7:18.152","5","Player","Alpine","Multiple Warnings","3 Second(s)"
"7:25.667","5","Player","KICK Sauber","Exceeded Track Limits","Warning"
"7:25.674","5","Player","KICK Sauber","Multiple Warnings","3 Second(s)"
"7:30.984","4","Player","Alpine","Speeding in the Pit Lane","10 second Time Penalty"
"8:21.409","5","Player","Alpine","Exceeded Track Limits","Warning"
"8:59.075","5","Player","KICK Sauber","Speeding Under Safety Car","Drive Through"
"10:16.546","6","Ikaros212","KICK Sauber","Exceeded Track Limits","Warning"
"10:24.672","5","Player","Alpine","Parked in a Dangerous Location","DSQ"
"10:54.954","6","Player","Mercedes-AMG Petronas","Exceeded Track Limits","Warning"
"13:44.973","8","Player","KICK Sauber","Exceeded Track Limits","Warning"
"14:11.159","8","Player","Mercedes-AMG Petronas","Exceeded Track Limits","Warning"
"14:26.117","8","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"14:29.653","8","Player","Aston Martin","Exceeded Track Limits","Warning"
"14:30.794","8","Ikaros212","KICK Sauber","Exceeded Track Limits","Warning"
"14:41.124","8","Player","Visa Cash App Racing Bulls","Exceeded Track Limits","Warning"
"14:45.771","8","Player","Williams","Exceeded Track Limits","Warning"
"15:09.443","8","Player","Aston Martin","Exceeded Track Limits","Warning"
"15:09.463","8","Player","Aston Martin","Multiple Warnings","3 Second(s)"
"16:08.542","9","Player","Mercedes-AMG Petronas","Exceeded Track Limits","Warning"
"16:17.710","9","Termiinator921","Aston Martin","Exceeded Track Limits","Warning"
"16:17.727","9","Termiinator921","Aston Martin","Multiple Warnings","3 Second(s)"
"16:25.536","9","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"16:25.628","9","Player","Haas","Exceeded Track Limits","Warning"
"17:07.930","10","Player","Visa Cash App Racing Bulls","Exceeded Track Limits","Warning"
"17:12.027","9","Player","KICK Sauber","Speeding in the Pit Lane","10 second Time Penalty"
"17:19.641","10","Player","Aston Martin","Crossed the Pit Lane Exit White Line","Warning"
"18:04.675","10","Player","Haas","Exceeded Track Limits","Warning"
"18:13.112","10","Player","Haas","Exceeded Track Limits","Warning"
"18:13.118","10","Player","Haas","Multiple Warnings","3 Second(s)"
"18:14.259","10","Termiinator921","Aston Martin","Exceeded Track Limits","Warning"
"18:24.401","10","Termiinator921","Aston Martin","Exceeded Track Limits","Warning"
"19:57.005","11","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"19:57.011","11","Player","Scuderia Ferrari HP","Multiple Warnings","3 Second(s)"
"20:01.426","11","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"20:07.863","11","Player","Haas","Exceeded Track Limits","Warning"
"20:08.555","11","Player","Visa Cash App Racing Bulls","Exceeded Track Limits","Warning"
"20:08.559","11","Player","Visa Cash App Racing Bulls","Multiple Warnings","3 Second(s)"
"20:10.101","11","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"20:25.008","11","Termiinator921","Aston Martin","Exceeded Track Limits","Warning"
"20:25.024","11","Termiinator921","Aston Martin","Multiple Warnings","3 Second(s)"
"20:26.309","11","Player","KICK Sauber","Exceeded Track Limits","Warning"
"20:50.590","12","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"20:50.597","12","Player","Scuderia Ferrari HP","Multiple Warnings","3 Second(s)"
"21:03.980","11","Player","Aston Martin","Exceeded Track Limits","Warning"
"21:22.045","12","Player","Haas","Exceeded Track Limits","Warning"
"21:27.703","12","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"21:39.339","12","Player","Mercedes-AMG Petronas","Exceeded Track Limits","Warning"
"21:39.356","12","Player","Mercedes-AMG Petronas","Multiple Warnings","3 Second(s)"
"21:43.360","12","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"21:45.587","12","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"21:51.291","12","Player","KICK Sauber","Exceeded Track Limits","Warning"
"21:51.298","12","Player","KICK Sauber","Multiple Warnings","3 Second(s)"
"24:42.589","14","Player","Mercedes-AMG Petronas","Exceeded Track Limits","Warning"
"24:57.692","14","Player","Williams","Exceeded Track Limits","Warning"
"26:45.608","15","Player","KICK Sauber","Exceeded Track Limits","Warning"
"27:29.038","16","Player","Mercedes-AMG Petronas","Exceeded Track Limits","Warning"
"27:34.068","16","Player","Williams","Exceeded Track Limits","Warning"
"27:48.158","16","Termiinator921","Aston Martin","Exceeded Track Limits","Warning"
"28:21.201","16","Player","Aston Martin","Exceeded Track Limits","Warning"
"29:30.413","17","Player","Williams","Exceeded Track Limits","Warning"
"29:30.419","17","Player","Williams","Multiple Warnings","3 Second(s)"
"30:36.384","18","Player","Visa Cash App Racing Bulls","Exceeded Track Limits","Warning"
"30:59.820","18","Player","Haas","Exceeded Track Limits","Warning"
"30:59.826","18","Player","Haas","Multiple Warnings","3 Second(s)"
"33:11.676","19","Player","Aston Martin","Exceeded Track Limits","Warning"
"33:11.693","19","Player","Aston Martin","Multiple Warnings","3 Second(s)"
"33:36.106","20","Player","Scuderia Ferrari HP","Corner Cutting","10 second Time Penalty"
"33:59.391","20","Player","KICK Sauber","Exceeded Track Limits","Warning"
"34:05.726","20","Player","Visa Cash App Racing Bulls","Exceeded Track Limits","Warning"
"34:29.185","20","Player","Aston Martin","Exceeded Track Limits","Warning"
"35:47.162","21","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"35:47.170","21","Player","Scuderia Ferrari HP","Multiple Warnings","3 Second(s)"
"39:06.779","23","Player","Aston Martin","Exceeded Track Limits","Warning"
"40:17.834","23","Player","Scuderia Ferrari HP","Speeding in the Pit Lane","10 second Time Penalty"
"42:27.551","25","Player","Haas","Corner Cutting","10 second Time Penalty"
"42:57.749","25","Player","Scuderia Ferrari HP","Exceeded Track Limits","Warning"
"43:12.965","26","Player","McLaren","Exceeded Track Limits","Warning"
"44:15.346","25","Player","Scuderia Ferrari HP","Unserved Penalty","10 Second(s)"
"45:20.145","26","Player","Haas","Unserved Penalty","10 Second(s)"
