"Pos.","Fahrer","Team","Grid","Stopps","Beste","Zeit","Pkt.","Fahrertyp"
"1","kzie73","Visa Cash App Racing Bulls","1","2","1:06,617","43:22,566","25","Spieler:in"
"2","BG10126","Visa Cash App Racing Bulls","4","2","1:07,113","+18,290","18","Spieler:in"
"3","lewa1305","Alpine","8","2","1:07,110","+27,559","15","Spieler:in"
"4","mosewhat","Mercedes-AMG Petronas","2","2","1:06,934","+29,187","12","Spieler:in"
"5","Termiinator921","Scuderia Ferrari HP","9","2","1:07,740","+50,011","10","Spieler:in"
"6","SFRT_cfc_1990","KICK Sauber","5","3","1:07,373","+57,868","8","Spieler:in"
"7","snesHDenes","Haas","15","2","1:08,403","+58,453","6","Spieler:in"
"8","UnleashTheLionRB","Red Bull","10","2","1:06,941","+59,512","4","Spieler:in"
"9","F1Alonso14","Haas","17","3","1:08,144","+1:02,949","2","Spieler:in"
"10","patrickf1racing","McLaren","14","2","1:07,360","+1:03,349","1","Spieler:in"
"11","Schimpalla","KICK Sauber","3","3","1:07,034","+1:03,425","0","Spieler:in"
"12","MarlonBeckemeyer","Scuderia Ferrari HP","12","3","1:06,836","+1:03,841","0","Spieler:in"
"13","HewisLamilton64","Mercedes-AMG Petronas","16","2","1:08,451","+1:10,603","0","Spieler:in"
"14","Enderbit","McLaren","18","3","1:07,559","+ 1 Runde","0","Spieler:in"
"15","Rene Zangelder","Williams","13","3","1:07,939","+ 1 Runde","0","Spieler:in"
"16","Destroyer","Williams","7","3","1:07,304","+ 2 Runden","0","Spieler:in"
"17","Marcolinski19","Aston Martin","11","4","1:07,634","+ 4 Runden","0","Spieler:in"
"18","I-BanKsy10-I","Alpine","19","2","1:07,681","DNF","0","Spieler:in"
"19","Tobi","Red Bull","6","1","1:07,842","DNF","0","Spieler:in"

"Zeit","Runde","Fahrer","Team","Vorfall","Strafe"
"12,035","1","Spieler:in","Williams","Kollision mit ツTobiツ","Warnung"
"1:21,585","2","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"2:17,265","2","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"3:24,967","3","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"3:53,874","4","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"3:55,570","4","Spieler:in","Williams","Kollision mit UnleashTheLionRB","Warnung"
"4:27,020","4","Spieler:in","Mercedes-AMG Petronas","Streckenbegrenzung überschritten","Warnung"
"4:28,693","4","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"4:31,760","4","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"4:33,009","4","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"4:37,257","4","snesHDenes","Haas","Streckenbegrenzung überschritten","Warnung"
"5:02,272","5","UnleashTheLionRB","Red Bull","Streckenbegrenzung überschritten","Warnung"
"5:34,598","5","Spieler:in","Haas","Streckenbegrenzung überschritten","Warnung"
"5:36,488","5","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"5:36,827","5","Spieler:in","KICK Sauber","Streckenbegrenzung überschritten","Warnung"
"5:36,841","5","Spieler:in","KICK Sauber","Mehrere Warnungen","3 Sekunde(n)"
"5:41,850","5","Spieler:in","Alpine","Streckenbegrenzung überschritten","Warnung"
"6:12,378","6","Spieler:in","Williams","Streckenbegrenzung überschritten","Warnung"
"7:05,700","7","Spieler:in","Red Bull","Streckenbegrenzung überschritten","Warnung"
"7:05,716","7","Spieler:in","Red Bull","Mehrere Warnungen","3 Sekunde(n)"
"8:01,828","7","Termiinator921","Scuderia Ferrari HP","Streckenbegrenzung überschritten","Warnung"
